R_bohr,nuclear_cusp_max_error,electron_cusp_error,electron_exchange_error,nuclear_exchange_error,gradient_max_error,laplacian_error,physics_pass
0.8,1.765289481181487e-05,7.760457504352170e-05,0.000000000000000,0.000000000000000,4.905396477905555e-09,2.398504339584662e-08,true
1.0,2.427296596974049e-05,5.975087874438012e-05,0.000000000000000,0.000000000000000,4.132001435452892e-09,2.521061248650369e-08,true
1.2,2.899686501944832e-05,4.900919342537558e-05,0.000000000000000,0.000000000000000,3.683439331325644e-09,2.443031638099669e-08,true
1.4,3.240436152662785e-05,4.146688220535433e-05,0.000000000000000,0.000000000000000,3.400856395108232e-09,1.478819910971652e-08,true
1.6,3.488895183789698e-05,3.649236141006762e-05,0.000000000000000,0.000000000000000,3.182112282007488e-09,1.380261610561817e-08,true
2.0,3.816948323998037e-05,3.223228023335745e-05,0.000000000000000,0.000000000000000,2.815218405616271e-09,2.581347130492517e-08,true
3.0,4.221484728372804e-05,1.679140942917323e-05,0.000000000000000,0.000000000000000,2.472249682750061e-09,5.063164387753005e-08,true
4.0,4.456421243059783e-05,8.451924770780384e-06,0.000000000000000,0.000000000000000,2.742948049250238e-09,2.093212814191503e-08,true
6.0,4.679749265801281e-05,4.577113188075632e-06,0.000000000000000,0.000000000000000,3.093431913403499e-09,4.698255390289674e-08,true
