torsion,definition_zero_based,grid,candidate_count,successful_candidates,failed_candidates,rounds,grid_cells,converged,energy_range_hartree,minimum_grid_degrees,minimum_energy_hartree,archive,sha256,verification
CHI,55-25-9-8,-180:15:165,225,225,0,10,24,true,0.00606047228120588,45,-1477.94378525919,TSL_RSH_TORSIONDRIVE_BACKUP-20260825T144336Z-1-001.zip,6cc680aec6a161147d45564755276b22b9b46f46a7fb502fdb77f9d349f96fa3,PASS
PHI,25-9-8-7,-180:15:165,37,37,0,6,18,true,0.0631487911077784,-75,-1477.94370179682,TSL_RSH_PHI_RUNPOD_RESULTS.tar.gz,22d7e15d275611c909fd96d7f3597f30acb153b2e0090df38793ce627835f65e,PASS
PSI,9-8-7-1,-180:15:165,47,47,0,7,14,true,0.0586123162436252,-60,-1477.94321192772,TSL_RSH_PSI_RUNPOD_RESULTS.tar.gz,1e339fc04bf495521095f8f6e6ff93286b0da7f2252fc27b0a90c450ddd55818,PASS
