system,enantiomer,seed,mode,engine_score,superpocket_atom_fraction,site_status,family
7B_G199F,R,42,3,-4.248,1.0,ACCEPTED_CANONICAL_SITE,5
7B_G199F,R,42,4,-4.231,1.0,ACCEPTED_CANONICAL_SITE,1
7B_G199F,R,42,5,-4.169,1.0,ACCEPTED_CANONICAL_SITE,6
7B_G199F,R,42,6,-4.15,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,R,42,7,-4.096,0.5454545454545454,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,R,42,8,-4.076,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,R,42,9,-3.969,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,1,1,-4.508,1.0,ACCEPTED_CANONICAL_SITE,1
7B_G199F,S,1,2,-4.414,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,1,3,-4.353,1.0,ACCEPTED_CANONICAL_SITE,2
7B_G199F,S,1,4,-4.149,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,1,5,-4.111,0.5454545454545454,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,1,6,-4.098,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,1,7,-4.061,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,1,8,-4.037,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,1,9,-4.001,1.0,ACCEPTED_CANONICAL_SITE,3
7B_G199F,S,7,1,-4.534,1.0,ACCEPTED_CANONICAL_SITE,1
7B_G199F,S,7,2,-4.412,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,7,3,-4.372,1.0,ACCEPTED_CANONICAL_SITE,2
7B_G199F,S,7,4,-4.153,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,7,5,-4.126,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,7,6,-4.1,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,7,7,-4.08,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,7,8,-4.078,1.0,ACCEPTED_CANONICAL_SITE,4
7B_G199F,S,42,1,-4.516,1.0,ACCEPTED_CANONICAL_SITE,1
7B_G199F,S,42,2,-4.477,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,42,3,-4.372,1.0,ACCEPTED_CANONICAL_SITE,2
7B_G199F,S,42,4,-4.154,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,42,5,-4.127,0.5454545454545454,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,42,6,-4.103,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,42,7,-4.086,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,42,8,-4.053,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_G199F,S,42,9,-2.009,1.0,ACCEPTED_CANONICAL_SITE,5
7B_L43F_G199F,R,1,1,-4.515,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,R,1,2,-4.231,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,R,1,3,-4.16,1.0,ACCEPTED_CANONICAL_SITE,2
7B_L43F_G199F,R,1,4,-4.143,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,1,5,-4.097,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,1,6,-4.076,0.5454545454545454,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,1,7,-3.979,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,1,8,-3.978,1.0,ACCEPTED_CANONICAL_SITE,4
7B_L43F_G199F,R,1,9,-1.529,1.0,ACCEPTED_CANONICAL_SITE,3
7B_L43F_G199F,R,7,1,-4.53,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,R,7,2,-4.25,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,R,7,3,-4.161,1.0,ACCEPTED_CANONICAL_SITE,2
7B_L43F_G199F,R,7,4,-4.151,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,7,5,-4.096,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,7,6,-3.979,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,7,7,-3.969,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,7,8,-3.968,0.6363636363636364,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,7,9,-3.904,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,42,1,-4.53,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,R,42,2,-4.334,1.0,ACCEPTED_CANONICAL_SITE,3
7B_L43F_G199F,R,42,3,-4.232,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,R,42,4,-4.169,1.0,ACCEPTED_CANONICAL_SITE,2
7B_L43F_G199F,R,42,5,-4.147,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,42,6,-4.122,1.0,ACCEPTED_CANONICAL_SITE,5
7B_L43F_G199F,R,42,7,-4.099,0.5454545454545454,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,42,8,-4.094,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,R,42,9,-3.965,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,1,1,-4.522,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,S,1,2,-4.456,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,1,3,-4.362,1.0,ACCEPTED_CANONICAL_SITE,2
7B_L43F_G199F,S,1,4,-4.293,1.0,ACCEPTED_CANONICAL_SITE,3
7B_L43F_G199F,S,1,5,-4.147,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,1,6,-4.125,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,1,7,-4.079,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,1,8,-4.055,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,1,9,-4.019,1.0,ACCEPTED_CANONICAL_SITE,4
7B_L43F_G199F,S,7,1,-4.52,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,S,7,2,-4.449,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,7,3,-4.368,1.0,ACCEPTED_CANONICAL_SITE,2
7B_L43F_G199F,S,7,4,-4.205,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,7,5,-4.183,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,7,6,-4.123,0.5454545454545454,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,7,7,-4.092,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,7,8,-4.085,1.0,ACCEPTED_CANONICAL_SITE,5
7B_L43F_G199F,S,7,9,-4.032,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,42,1,-4.528,1.0,ACCEPTED_CANONICAL_SITE,1
7B_L43F_G199F,S,42,2,-4.443,0.45454545454545453,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,42,3,-4.356,1.0,ACCEPTED_CANONICAL_SITE,2
7B_L43F_G199F,S,42,4,-4.159,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,42,5,-4.124,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,42,6,-4.118,0.5454545454545454,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,42,7,-4.071,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
7B_L43F_G199F,S,42,8,-4.036,0.0,REJECTED_OUTSIDE_CANONICAL_SITE,
