campaign_id,source_path,runner_path,geometry_sha256,source_minimum,perturbation_family,phi_degrees,psi_degrees,nearest_minimum_rmsd_angstrom,selection_method,selected_for_qm
TSLRSH-GPU-015,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-048.xyz,geometry/TSLRSH-GPU-015.xyz,0cdbbb83fc06366a1d50ddf5fd252a4c1fd78dc2fe273632922ad97aaafdbf6c,MIN01,FORCE_CLOUD_PERTURBATION,39.11773275655419,-69.71057381076355,0.036913403040101725,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-016,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-046.xyz,geometry/TSLRSH-GPU-016.xyz,ac26071d14dca9cc78446febfd0a0824b4b7ca9e505d8d9779ddadb78cbbf570,MIN01,FORCE_CLOUD_PERTURBATION,32.65470004356548,-70.20203607621343,0.024992234278880913,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-017,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-003.xyz,geometry/TSLRSH-GPU-017.xyz,67e0dd67e6e78d7e872ac75578bdc85d62ad5eb3af74497f61a4e341991e33ab,MIN01,FORCE_CLOUD_PERTURBATION,40.530024340424035,-68.96973249844626,0.026397264520139203,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-018,analysis/mettl7-phase2/execution-unit-05M/points/M-D01/trajectory-002.xyz,geometry/TSLRSH-GPU-018.xyz,d5b07126c35e75da9d7968c55cedf146bce7622cafbef3373757114637770708,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,59.89886400974024,-41.696154382597435,0.24944306743463365,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-019,analysis/mettl7-phase2/execution-unit-05M/points/M-D02/trajectory-024.xyz,geometry/TSLRSH-GPU-019.xyz,8b929560cb0ddca33d5b0fc9f36b0da93c7e3178b19c0a43df5a48dbf4d0c6a5,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,-60.013510679135706,-0.0010006248224248566,0.6353487584414207,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-020,analysis/mettl7-phase2/execution-unit-05H/points/phi060_psi-060/trajectory-006.xyz,geometry/TSLRSH-GPU-020.xyz,b7d1c78f1736ef11f637a0efc42fbedf1f260ce0307a96ff7d5ee3474bf6fc8c,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,59.99535935515019,-60.00381932955173,0.1930110071343934,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-021,analysis/mettl7-phase2/execution-unit-05F/dft-2d/phi180_psi+060.xyz,geometry/TSLRSH-GPU-021.xyz,196c5a55e01826bfcfbbfc538770e5d20cd8339fad171a9cb7f10d64bd90a90b,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,179.99253134415844,60.00579245896937,1.0622127730901194,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-022,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-008.xyz,geometry/TSLRSH-GPU-022.xyz,e01254cfc024eb4dbf6d3a59a8db63f3cd70f32d73f41e7b483da93a8c5b54f9,MIN02,FORCE_CLOUD_PERTURBATION,-47.324211203997834,-67.46531004525116,0.10725324442915281,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-023,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-029.xyz,geometry/TSLRSH-GPU-023.xyz,51a20bf271d9cfb9cd62a7e546adafcfb5d3ecec291103f9bc78ce0a070eb9e4,MIN02,FORCE_CLOUD_PERTURBATION,-89.38485314785818,-68.3157698609706,0.16486751368626953,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
TSLRSH-GPU-024,analysis/mettl7-phase2/execution-unit-05O/force-cloud/candidates/candidate-009.xyz,geometry/TSLRSH-GPU-024.xyz,a4e51527b487687e267ccc670776d3ba14bb66755306322b16ce9209cefd9678,MIN02,FORCE_CLOUD_PERTURBATION,-52.74740368218904,-68.49573791062718,0.12519137444242004,BALANCED_MINIMUM_STRATIFIED_MAXIMIN_DESCRIPTOR,True
