campaign_id,source_minimum,family,geometry_sha256,result_sha256,total_energy_hartree,electronic_energy_hartree,d3_energy_hartree,global_force_rms_kcal_mol_a,sulfur_local_force_rms_kcal_mol_a,sulfur_atom_force_norm_kcal_mol_a,sulfur_force_projection_sc_kcal_mol_a,sulfur_force_projection_sh_kcal_mol_a,d3_global_gradient_rms_kcal_mol_a,d3_local_gradient_rms_kcal_mol_a,sc_distance_a,sh_distance_a,c_s_h_angle_deg,phi_deg,psi_deg,scf_cycles,runtime_seconds
TSLRSH-GPU-001,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,ae84db0c18745dffff385edfa193d388ea972e2937b84048c485a52e8274ff6a,c8de6e112add32b5448db520dc8f70b3356c67e6ffd394b897310331b461fd16,-1477.8602862708558,-1477.7728848041543,-0.08740146670143568,12.14952715915523,32.13417557427429,50.72352755597007,-0.70110919076119,-45.47749541356441,0.3373457690220335,0.48819683580750106,1.8738855541288135,1.3467713014253428,98.32865555322184,59.945824495924924,-0.003471089500150864,15,6.757415172000037
TSLRSH-GPU-002,MIN01,FORCE_CLOUD_PERTURBATION,74ef58a5d34ad4f11f7a0856ca39a35e3bcca8bf3bd8b80786c95401c0c8d56a,edf953707c5c5f6f0d4221e80f8f080d4950f7c27e015b880dfd4cd1d698454d,-1477.666032923157,-1477.5799541972906,-0.08607872586632154,54.105899032103316,63.16806691680174,32.33885913506112,1.462349181949306,32.034869010097346,0.3239017776908807,0.47311812097470446,1.9364223405698053,1.4288184457383046,94.34412676156964,45.57352421600808,-81.04846561391408,15,4.471807714000079
TSLRSH-GPU-003,MIN01,FORCE_CLOUD_PERTURBATION,2fa2c4f60bd61c8a827266e14a999bfad450e55a329294a7a7d7f86797fd707a,7cdf2fd1a1d4253f6f3d1a53d5892a825d3bcd0de73f625dab68c8bf14b66cca,-1477.7167589657042,-1477.6309798425732,-0.0857791231310875,51.808967779552056,66.9852964726358,35.76470472714881,8.618402748866977,-35.594725217370055,0.33011837788161114,0.4820622089783406,1.913196928106472,1.3111765035796996,98.50014305545378,35.301025455740024,-70.61382615321864,15,4.375868223999987
TSLRSH-GPU-004,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,ae9b4b8a92d591c00f6e80226c717d7f6d4bf906083ed4ba4a6b5e016702b735,18886c337af5adbd453ca55ebfc2bae307ffcdafea41b89b0b09a525a4e79162,-1477.9256513962132,-1477.8406082153278,-0.08504318088532287,9.189346484851857,9.53077565020783,19.996386721492573,18.740855404168595,5.125636956979904,0.32436660266555384,0.4756816081174419,1.9144187695312915,1.3843839741534125,95.19209005237491,59.99572118628168,-60.00772456936957,14,4.1951267320000625
TSLRSH-GPU-005,MIN01,FORCE_CLOUD_PERTURBATION,8ea6d745cde0c091bc20605bb122de6cce66b3b262c513f1caa9b5a67f73efa9,72f27e5580baa3db26bd116d466d99eb98acfc0ba6a176f387c5b3e70affeed8,-1477.7066815014718,-1477.6205989346154,-0.08608256685639933,53.06325038440128,54.13718953427073,30.51479498539298,-28.63252781667848,11.44794563701303,0.3388427543429979,0.474949058124388,1.7470494556562537,1.3694090407359205,93.08533881743386,39.78258453880758,-66.317223408293,14,4.189173243999903
TSLRSH-GPU-006,MIN01,FORCE_CLOUD_PERTURBATION,f385ea2cce36f265e3201df0a0f9daf4827912f2c9672a4455ac7142abbab306,04892f9e5d24a17f37c1668deb3274afed8e9ae74c450e44d97f0ba901d9b892,-1477.8975385128902,-1477.8115513310936,-0.0859871817964524,21.68665969060109,28.140659096489298,23.941181584393046,-18.182023361306257,-12.97394643527024,0.3269476348017884,0.47401459307157207,1.7992415073134929,1.337768539593852,96.97818515383099,44.46048781596008,-74.40078336152112,14,4.168431532999875
TSLRSH-GPU-007,MIN01,OTHER_EXISTING_GEOMETRY,aaf521feae08d5c1e579af84d0a757f9c5a1d590358141dce55c70bd070a10a9,595ce94e919d2199b149412339d41c0a30fdbce7eb1a5c8e885adba6f096c2f8,-1477.927358400534,-1477.8400341617967,-0.08732423873748998,9.337012480862821,9.638805554204469,23.012774197169875,-3.3508200547690303,-21.98258747708904,0.3285208659019845,0.4753021851286761,1.85489452388098,1.3260009372781156,96.95137712735787,0.16565927522989385,-67.69673856735815,13,4.006137680999927
TSLRSH-GPU-008,MIN01,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,1b4dc6839b1d71a6ee4baae871b72a6fdacdd0fa611ea42de1a2e87287ef554d,2ee067701e12ceb951a2e0642a268e3abf755d4cdb6eb512e40625a0da7683e9,-1477.9007787989303,-1477.8139763116765,-0.08680248725388155,9.044398472105474,23.837462649120322,32.43665280393136,-0.6359165308729106,28.007040793366116,0.3284551305150579,0.4597377449027125,1.8508928995408676,1.3652749823839523,98.70622460683563,-61.01929218042644,-13.291210011200366,13,4.015018364000298
TSLRSH-GPU-009,MIN01,FORCE_CLOUD_PERTURBATION,bb5c5513f3e7c8db196c8ab3c7542d5b0bc82d053aa122e4932145f2867d8c23,b33d2fc90d15c370af183556e1052e84546999fbdcc3df3ce511cda2fcdf52ae,-1477.840698864185,-1477.7549078759394,-0.08579098824557119,34.42524740790267,32.48362514375688,10.764456829398878,7.495774607887094,6.189773435467235,0.3265427296289455,0.4733590476362317,1.885268872992481,1.38270015054743,95.87693002074411,40.59138597560135,-72.21973680044309,14,4.178466425999886
TSLRSH-GPU-010,MIN01,FORCE_CLOUD_PERTURBATION,47bdf017b9b283de3a28322690bed718f4190a433c2e6b36cac798c890e0f646,e5442e5bd178f41ac501532d669eb8712fb9b197eddbd1d781186e3fa7a5d6a2,-1477.9411822893608,-1477.8554534289042,-0.08572886045665573,2.3099961847329396,0.5043738575842347,2.2550122937428148,1.1071531473160139,0.5433964442293804,0.32541988019072293,0.4719425845511474,1.8532997954050756,1.3656739439226038,96.01703396935591,44.709270290887666,-72.64215385357545,14,4.185641458999726
