system,seed,torsion,atom_indices,start_deg,final_deg,delta_deg
7B_WT,314159,1,24-0-16-12,93.59152934342461,92.53323142095438,-1.0582979224702171
7B_WT,314159,2,16-0-24-2,10.404645984972314,8.725585491547696,-1.679060493424629
7B_WT,314159,3,15-3-9-1,0.741670705368987,0.7625910322208006,0.020920326851808113
7B_WT,314159,4,9-3-15-17,176.42889081495593,173.92979063117997,-2.4991001837759654
7B_WT,314159,5,8-6-7-10,128.96962454059806,130.02741163497006,1.057787094372003
7B_WT,314159,6,7-6-8-4,-150.5543850064502,-151.02028142834615,-0.4658964218959625
7B_WT,314159,7,7-6-9-1,39.27636106956617,42.046083600145565,2.7697225305794007
7B_WT,314159,8,13-12-16-0,-146.14167031047776,-147.03226994871952,-0.8905996382417527
7B_WT,314159,9,23-22-24-0,89.83732380249685,90.24639577827357,0.40907197577672605
7B_WT,271828,1,24-0-16-12,93.59152934342461,92.53323142095438,-1.0582979224702171
7B_WT,271828,2,16-0-24-2,10.404645984972314,8.725585491547696,-1.679060493424629
7B_WT,271828,3,15-3-9-1,0.741670705368987,0.7625910322208006,0.020920326851808113
7B_WT,271828,4,9-3-15-17,176.42889081495593,173.92979063117997,-2.4991001837759654
7B_WT,271828,5,8-6-7-10,128.96962454059806,130.02741163497006,1.057787094372003
7B_WT,271828,6,7-6-8-4,-150.5543850064502,-151.02028142834615,-0.4658964218959625
7B_WT,271828,7,7-6-9-1,39.27636106956617,42.046083600145565,2.7697225305794007
7B_WT,271828,8,13-12-16-0,-146.14167031047776,-147.03226994871952,-0.8905996382417527
7B_WT,271828,9,23-22-24-0,89.83732380249685,90.24639577827357,0.40907197577672605
7B_WT,161803,1,24-0-16-12,93.59152934342461,92.53323142095438,-1.0582979224702171
7B_WT,161803,2,16-0-24-2,10.404645984972314,8.725585491547696,-1.679060493424629
7B_WT,161803,3,15-3-9-1,0.741670705368987,0.7625910322208006,0.020920326851808113
7B_WT,161803,4,9-3-15-17,176.42889081495593,173.92979063117997,-2.4991001837759654
7B_WT,161803,5,8-6-7-10,128.96962454059806,130.02741163497006,1.057787094372003
7B_WT,161803,6,7-6-8-4,-150.5543850064502,-151.02028142834615,-0.4658964218959625
7B_WT,161803,7,7-6-9-1,39.27636106956617,42.046083600145565,2.7697225305794007
7B_WT,161803,8,13-12-16-0,-146.14167031047776,-147.03226994871952,-0.8905996382417527
7B_WT,161803,9,23-22-24-0,89.83732380249685,90.24639577827357,0.40907197577672605
7B_C203N,314159,1,24-0-16-12,93.59152934342461,100.31216595213264,6.720636608708048
7B_C203N,314159,2,16-0-24-2,10.404645984972314,-1.9826464983585304,-12.387292483330839
7B_C203N,314159,3,15-3-9-1,0.741670705368987,0.7854246042008723,0.04375389883188063
7B_C203N,314159,4,9-3-15-17,176.42889081495593,-167.1555647534733,16.415544431570765
7B_C203N,314159,5,8-6-7-10,128.96962454059806,127.98484077371425,-0.9847837668838224
7B_C203N,314159,6,7-6-8-4,-150.5543850064502,-147.2894358445374,3.2649491619127957
7B_C203N,314159,7,7-6-9-1,39.27636106956617,44.91540463446909,5.63904356490292
7B_C203N,314159,8,13-12-16-0,-146.14167031047776,-150.9776517662205,-4.83598145574274
7B_C203N,314159,9,23-22-24-0,89.83732380249685,81.79051559617871,-8.046808206318133
7B_C203N,271828,1,24-0-16-12,93.59152934342461,100.31216595213264,6.720636608708048
7B_C203N,271828,2,16-0-24-2,10.404645984972314,-1.9826464983585304,-12.387292483330839
7B_C203N,271828,3,15-3-9-1,0.741670705368987,0.7854246042008723,0.04375389883188063
7B_C203N,271828,4,9-3-15-17,176.42889081495593,-167.1555647534733,16.415544431570765
7B_C203N,271828,5,8-6-7-10,128.96962454059806,127.98484077371425,-0.9847837668838224
7B_C203N,271828,6,7-6-8-4,-150.5543850064502,-147.2894358445374,3.2649491619127957
7B_C203N,271828,7,7-6-9-1,39.27636106956617,44.91540463446909,5.63904356490292
7B_C203N,271828,8,13-12-16-0,-146.14167031047776,-150.9776517662205,-4.83598145574274
7B_C203N,271828,9,23-22-24-0,89.83732380249685,81.79051559617871,-8.046808206318133
