dimension,evidence_hash,molecule_id,calculation_type,protocol_key,acceptance,source_path,source_sha256
"QUANTUM","1b63f9fbf15ce92193d0304144d00e63d9a6bd72ebda10920fae0c279e21eafd","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05M/points/M-D01/final.xyz","21ac1c506179f210be494d63e2210b037c5a8ca39707445fd572fbd485717c73"
"QUANTUM","1d7038cd117b7a4a0de57a2ac703480568af61aeb4bf4e56dec6ac6488ec742d","TSL-RSH","SINGLE_POINT","GFN2-xTB|ALPB(water)|none|none|false|unknown|unknown","EXCLUDED_BY_PROTOCOL","execution-unit-05B/qm/TSL_RSH/xtbopt.xyz","aaf521feae08d5c1e579af84d0a757f9c5a1d590358141dce55c70bd070a10a9"
"QUANTUM","1e8ba0f80629e1a05c16fa7cad214ac9488ab1537e692fecb52777feb0182952","TSL-RSH","OPTIMIZATION","PBE|def2-SVP|D3(BJ)|gas|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/qm-native-minima/MIN03/result.json","0636fff3809f396bb08851c4dee9791891cc7ab5123e74cc98b59d3055ad722b"
"QUANTUM","1ff8148cf6a8eb1798eb4108883a9cb3d1ffe2cd0c80087c1a3fc6672e20cb61","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN02_SH_DONOR_2.8A/result.json","a9e8f7742cf0e59700c7e9bfc3e6d90f600c0873abf6d83621445a28d5595929"
"QUANTUM","21dbb27e872efa0ed18523338d526e58017d6b612186602e50e9975c9c65ac9a","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","GEOMETRY_INVALID","execution-unit-05O/vdw-probe-validation-aws/point-5/05_MIN01_SH_DONOR_2.1/result.json","0fc62e28e5deff3cbc4d2f4cfd812918cfa982e4f1bf0ffa948297e7b64fa809"
"QUANTUM","25142d324b60f0c7b7db4621dde06603a617ea0a5331471de1fe67231a53831c","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","EXCLUDED_BY_PROTOCOL","execution-unit-05O/vdw-probe-validation-aws/point-5/05_MIN01_SH_DONOR_2.1/geometry.xyz","c6d5015b9d58f377c27e3f2842fcf7806e90a07f4bdf180aafc7a3e0c61af1bd"
"QUANTUM","2697ebcdab0fc427cb1a585fb3e3c0a8ddf8768f24983952b9fb53af066e0482","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-7/07_MIN01_O1_ACCEPTOR_1.7/geometry.xyz","e22ff5780566081b29663a689916df6127252e42ceef169ee8344132af413df4"
"QUANTUM","27dc230c55cb07601a9b551af8aa4618e9727d74faf7197d91db122070cde81b","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-17/17_MIN02_SH_DONOR_2.1/geometry.xyz","f515fdf6bdb15e76b0e93349993ba1bd7189e58dd321e84b8d8c169811047e7c"
"QUANTUM","2e3c6cf432d6046b6350ab104ad8fe949521d1caa6384c43a1bd474a3cb50a5f","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","EXCLUDED_BY_PROTOCOL","execution-unit-05O/qm-native-minima/MIN03/final.xyz","cb624b16c02b6be8459625f8e055436cc1b62f9ed0dd9f88c3a35f20d58858ae"
"QUANTUM","34b54e39f84f43bc125d2d0d77f5a9258714c3b54b9f543003acc0b9281be2d7","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","EXCLUDED_BY_PROTOCOL","execution-unit-05O/vdw-probe-validation-aws/point-4/04_MIN01_SH_DONOR_1.7/geometry.xyz","f64479ab3dcb8782b2282a849a0f8eff1a15d9f115ed09cd2cfe0c38baa4876f"
"QUANTUM","3b3e2d38ff762099a412ee2e812c9cf8b549e5c6d3e09abbe176a5f63864f059","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05M/points/M-D02/final.xyz","00870d79d992eaccf2745f82c68fd21249b0c07d94abb191615a7d2a8c08fa35"
"QUANTUM","40365d5417613906aab7f5d67be9bdecbe0c469ba9cd45c8d25595e999918ad8","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|gas|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/electrostatic-diagnostics/MIN01/result.json","ed5cb6dee0a8022e205e7cce8c19e0f5b55bb69e4938e8495e631990cc4e7c8f"
"QUANTUM","40f4ce2e83681d32ca200c15455db86e5f05e9250cbd8e0afbd9a92d35a737c0","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-3/03_MIN01_S_ACCEPTOR_3.5/result.json","33991572913a6fa03100eff18977b13b85c89c497ebfa7fc2a6fe0ba99455103"
"QUANTUM","4b9027e3b6ce98d535a469f45764b4fc4e7c57e584efa115b464ae6579ea61d3","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-11/11_MIN01_O2_ACCEPTOR_2.1/geometry.xyz","ec5613f613d196e4a0e8851bc6c01e623c4e725a9a2752eaa8c768ff294d26e6"
"QUANTUM","4c84ee2402a3d849faf1da5294a18718e00aa35e0ed482a960b9c784bee5d8e8","TSL-RSH","HESSIAN","PBE|def2-SVP|D3(BJ)|gas|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/hessians/MIN04/result.json","b881219d77ffb471673c94d5b32ebdd13ec4fd194e7d06a34b33c0b26fed1c78"
"QUANTUM","4e53de2e039541e075443c8f6b02d1ed386972a2f8fa3d7525e1cfae7ebf4ed7","TSL-RSH","SINGLE_POINT","GFN2-xTB|ALPB(water)|none|none|false|unknown|unknown","EXCLUDED_BY_PROTOCOL","execution-unit-05B/qm/TSL_RSH/optimized.xyz","27fab449cb9415769b4596e76da29034d2919daedbde2bb49900fa981440c1b5"
"QUANTUM","5069b26f7657447c7221c4b3a4de69305b2cb0d9436de70fc16f2f87b5ee4044","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05L/points/phi060_psi060_A_p10/final.xyz","bed949e5dd50350c66fd99c1cfbf09763e4d300e7addfadffb21499783f95b22"
"QUANTUM","5092fce6b796d8c2f9f88ac4acf4e9ddde076da5179e1a59cfd534e614270038","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05F/dft-2d/phi180_psi-060.xyz","e401dbcdc6f36183f99689c835df03cfdbaec5af0a8091ba8401a1f926b3eac8"
"QUANTUM","5320fa0144b13cbec427bb4297668c7b276719c3e05beb69068bac3f867efdb7","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN04_SH_DONOR_2.8A/geometry.xyz","099e3f591634a078c8fcb8742e7b303859d6b28e1f9a0b38b00d0fc47ef85bf1"
"QUANTUM","557dea6947c98e6df228be3e34593c5f491785d91abb067b72e89a488f977313","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-9/09_MIN01_O1_ACCEPTOR_2.8/result.json","0e945aa27c590a4ad7bbbe2b1e1feb30a3f9243cdfc20a961b43729f545162be"
"QUANTUM","564e2d43398d051f835be8364a8a95cf2edf568a50c6b2a1e0a4391b49ea89a7","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-18/18_MIN04_S_ACCEPTOR_2.8/geometry.xyz","c1cb2b3381609641fcdc580c84b78695c3f4007f8b1998d6acab09aeb90709b8"
"QUANTUM","59c4ab5b3fec1ff62f9dcec0518293a5e587882469425e9af680ddbb1975e7be","TSL-RSH","SINGLE_POINT","unknown|none|none|none|false|unknown|unknown","EXCLUDED_BY_PROTOCOL","execution-unit-05B/qm/TSL_RSH/state.xyz","35691d292fcbff13a10b7cae0a414abe4262de9a0f30a7c75e14f7bbb1276118"
"QUANTUM","5ceda3818a59d363ba23dc158075a9533ae0366dead1384ed5d328aba2bce355","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-17/17_MIN02_SH_DONOR_2.1/result.json","1d2f3ae349cfedbb45ae09a29419e8abdb9daf9f867ce167f6bf0be7f77cc9af"
"QUANTUM","5e3cf244ecc6fd1a111586bccbb089e4a468e92a68742e8fd39eaf2bd900c03b","TSL-RSH","CONSTRAINED_SCAN","PBE|3-21G|none|none|false|unknown|unknown","ACCEPTED","execution-unit-05D/full-molecule-dft/TSL_RSH/point-000.xyz","db810234cfe572c68795bb6b5bb9f82aaf23660eae39a94ab47de138e7a1a2c7"
"QUANTUM","5e4089b6adc2fce02b5cd67756316371808cdeb11409be73c3e1e8dc1380e014","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05L/points/phi060_psi060_A_m10/final.xyz","6cc005ff4a462ee049f950889316690ef8b1f87831916497d3cae37b91d239b8"
"QUANTUM","63d392528b257af34207f4aed6838535daafe5d72436e76074cb2103efda1a38","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05F/dft-2d/phi060_psi-060.xyz","ae9b4b8a92d591c00f6e80226c717d7f6d4bf906083ed4ba4a6b5e016702b735"
