estimator,R_bohr,absolute_error,variance,wall_ns,variance_times_cost,error2_times_cost
DIRECT_HF_PULAY_BASELINE,1.0,0.05021680858124844,46.36499182834358,7198678333,333766662084.4190,18153107.73691644
BARE_HELLMANN_FEYNMAN,1.0,0.09579660194257900,46.58865729934321,0,0.000000000000000,0.000000000000000
CORRELATED_SAMPLING_FINITE_DIFFERENCE,1.0,0.03927471893347800,1.211561096343714,1584312292,1919491137.446343,2443807.330446848
SPACE_WARP_COORDINATE_TRANSFORMATION,1.0,0.04186538135428491,0.08099996878986401,3715250708,300935191.3945202,6511757.647773786
ASSARAF_CAFFAREL_ZV,1.0,1.360519003799879,0.4664184579840880,456459584,212901175.3013383,844912149.1039677
ASSARAF_CAFFAREL_ZVZB,1.0,0.03586992401717964,0.5853533838437659,507639750,297148645.4361033,653155.4199066049
DIRECT_HF_PULAY_BASELINE,1.4,0.02605467019608870,40.67378902644700,940581416,38257010076.58078,638509.7805176792
BARE_HELLMANN_FEYNMAN,1.4,0.06787946328743813,40.63235278401302,0,0.000000000000000,0.000000000000000
CORRELATED_SAMPLING_FINITE_DIFFERENCE,1.4,0.008560701005184690,1.261483994892466,829943209,1046960074.823193,60822.88744853508
SPACE_WARP_COORDINATE_TRANSFORMATION,1.4,0.009547420831791942,0.04110844359785850,2814089625,115682844.6286313,256513.3997432298
ASSARAF_CAFFAREL_ZV,1.4,1.052522125819966,0.2436935351927494,439053667,106994540.2505702,486384892.7787419
ASSARAF_CAFFAREL_ZVZB,1.4,0.006718223724909519,0.3693500780551586,459737583,169804112.1659400,20750.03974028737
DIRECT_HF_PULAY_BASELINE,3.0,0.01244498693711941,27.92566425288374,2190028667,61158005258.83254,339186.6025835312
BARE_HELLMANN_FEYNMAN,3.0,0.01379106468882938,27.85935706696443,0,0.000000000000000,0.000000000000000
CORRELATED_SAMPLING_FINITE_DIFFERENCE,3.0,0.001005057023143359,1.512557401846804,1111195459,1680746916.409007,1122.462558444178
SPACE_WARP_COORDINATE_TRANSFORMATION,3.0,0.0009440091012756849,0.01064747103121201,2391817959,25466812.43038513,2131.476188016213
ASSARAF_CAFFAREL_ZV,3.0,0.3442521715627820,0.02712897250842966,481827375,13071481.61018383,57101149.06319797
ASSARAF_CAFFAREL_ZVZB,3.0,0.009016751437937183,0.06481290217339226,482516042,31273265.02723843,39229.42587671390
