evaluation_id,axis,purpose,LOCAL_TYPE_1,LOCAL_TYPE_2,LOCAL_TYPE_7,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_30,profile_mse_kcal2_mol2,regularization,objective
EVAL_00001,CHI,optimization,0.13,0.0,0.15,0.155555556,0.25,0.143,0.9379303716281872,0.0,0.9379303716281872
EVAL_00002,CHI,optimization,0.13,0.0,0.15,0.155555556,0.252,0.143,0.9341089291647443,1.600000000000003e-07,0.9341090891647443
EVAL_00003,CHI,optimization,0.13,0.0,0.15,0.155555556,0.25,0.145,0.9361706303884558,1.600000000000003e-07,0.9361707903884559
EVAL_00004,CHI,optimization,0.13,0.0,0.15,0.155555556,2.0,1.0227906198656493,21.345262142593608,0.15346126139214333,21.49872340398575
EVAL_00005,CHI,optimization,0.13,0.0,0.15,0.155555556,1.998,1.0227906198656493,21.302180855363172,0.15318142139214336,21.455362276755316
EVAL_00006,CHI,optimization,0.13,0.0,0.15,0.155555556,2.0,1.0247906198656493,21.366234094084103,0.15360218789132182,21.519836281975426
EVAL_00007,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4014700394652477,0.21914966852125975,0.6862969841693536,0.001149677794860057,0.6874466619642137
EVAL_00008,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4034700394652477,0.21914966852125975,0.6841493898783684,0.0011740730011744968,0.6853234628795428
EVAL_00009,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4014700394652477,0.22114966852125975,0.6852288457739669,0.0011620217418234586,0.6863908675157904
EVAL_00010,CHI,optimization,0.13,0.0,0.15,0.155555556,0.5916346798355339,0.33151897177541545,0.7560686431324312,0.0060901462874235045,0.7621587894198547
EVAL_00011,CHI,optimization,0.13,0.0,0.15,0.155555556,0.5936346798355339,0.33151897177541545,0.7595085470528412,0.006144967836197191,0.7656535148890384
EVAL_00012,CHI,optimization,0.13,0.0,0.15,0.155555556,0.5916346798355339,0.33351897177541545,0.7577664537268115,0.006120469322907571,0.7638869230497191
EVAL_00013,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47625636489615764,0.2633413082774539,0.6326740116705002,0.0026269589253580974,0.6353009705958583
EVAL_00014,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47825636489615764,0.2633413082774539,0.632729313663658,0.0026633199437414825,0.6353926336073995
EVAL_00015,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47625636489615764,0.2653413082774539,0.6326957311139583,0.0026463735346824897,0.6353421046486407
EVAL_00016,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4731674895552505,0.26167165693841493,0.6326965599921893,0.0025554676221960677,0.6352520276143854
EVAL_00017,CHI,optimization,0.13,0.0,0.15,0.155555556,0.4751674895552505,0.26167165693841493,0.6326641330122372,0.0025913344205249077,0.6352554674327622
