evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N2_PHASE180,equal_surface_profile_mse,regularization,objective
EVAL_00001,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,7.1933842452377945,0.0,7.1933842452377945
EVAL_00002,optimization,0.20660606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,7.194597173955543,1.600000000000003e-07,7.194597333955543
EVAL_00003,optimization,0.20460606269354412,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,7.208533614616496,1.6e-07,7.208533774616496
EVAL_00004,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002,7.193295348816612,4e-08,7.193295388816612
EVAL_00005,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04442821059136271,7.188128109450912,0.0016942842946016852,7.189822393745514
EVAL_00006,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04442821059136271,7.188447755151372,0.0016617073245707179,7.1901094624759425
EVAL_00007,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04442821059136271,7.199979580822487,0.0016944442946016849,7.2016740251170885
EVAL_00008,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04642821059136271,7.1881904589392915,0.0016961014230253394,7.189886560362317
EVAL_00009,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04330886655775387,7.188119375445358,0.0016933022148633537,7.189812677660221
EVAL_00010,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04330886655775387,7.188435417680196,0.0016607252448323864,7.190096142925029
EVAL_00011,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04330886655775387,7.200047246994856,0.0016934622148633536,7.201740709209719
EVAL_00012,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.045308866557753874,7.1880521918661655,0.0016950745695256636,7.189747266435691
EVAL_00013,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04387391427853353,7.188123495262038,0.0016937948391793814,7.189817290101217
EVAL_00014,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04387391427853353,7.188361003744106,0.0016612178691484143,7.190022221613255
EVAL_00015,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04387391427853353,7.200050612961977,0.0016939548391793813,7.201744567801157
EVAL_00016,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04587391427853353,7.188045229007923,0.0016955897957505225,7.189740818803673
EVAL_00017,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04339411856378668,7.188119543564117,0.0016933761308974599,7.189812919695014
EVAL_00018,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04339411856378668,7.188434893014327,0.0016607991608664928,7.190095692175194
EVAL_00019,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04339411856378668,7.200040719198046,0.0016935361308974598,7.201734255328943
EVAL_00020,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04539411856378668,7.1881299957311215,0.0016951518956400114,7.189825147626761
EVAL_00021,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043150662135887884,7.188108029147141,0.0016931654320658357,7.189801194579207
EVAL_00022,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043150662135887884,7.188360652029232,0.0016605884620348684,7.190021240491267
EVAL_00023,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043150662135887884,7.200040887698601,0.0016933254320658357,7.201734213130667
EVAL_00024,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.045150662135887885,7.1881291300256835,0.0016949314585512712,7.189824061484235
EVAL_00025,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0421768364242927,7.188120785707806,0.0016923344909457957,7.189813120198751
EVAL_00026,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0421768364242927,7.188482387176388,0.0016597575209148286,7.190142144697303
EVAL_00027,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0421768364242927,7.200100419293765,0.0016924944909457956,7.201792913784711
EVAL_00028,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0441768364242927,7.188129811942475,0.0016940615644027673,7.189823873506878
EVAL_00029,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043056267379024724,7.18803750295324,0.001693084057244321,7.189730587010485
EVAL_00030,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043056267379024724,7.188442517042482,0.0016605070872133538,7.190103024129695
EVAL_00031,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043056267379024724,7.200037411759756,0.0016932440572443208,7.201730655817
EVAL_00032,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.045056267379024725,7.188124046488944,0.001694846307939482,7.189818892796884
EVAL_00033,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043001263810791994,7.18810626984074,0.0016930367225314335,7.1897993065632715
EVAL_00034,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043001263810791994,7.188352468161578,0.0016604597525004664,7.190012927914078
EVAL_00035,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043001263810791994,7.200045263294489,0.0016931967225314334,7.20173846001702
EVAL_00036,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.045001263810791996,7.188124292691825,0.001694796773083865,7.189819089464908
EVAL_00037,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043055949851934346,7.188026473131118,0.0016930837838147032,7.189719556914933
EVAL_00038,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043055949851934346,7.188351927266656,0.0016605068137837359,7.19001243408044
EVAL_00039,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043055949851934346,7.200052388692538,0.001693243783814703,7.201745632476353
EVAL_00040,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04505594985193435,7.188126849374058,0.0016948460218087805,7.1898216953958665
EVAL_00041,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04305563686036348,7.188117051835984,0.001693083514292695,7.189810135350276
EVAL_00042,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04305563686036348,7.188439239382859,0.0016605065442617279,7.190099745927121
EVAL_00043,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04305563686036348,7.200039914047522,0.001693243514292695,7.201733157561815
EVAL_00044,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.045055636860363485,7.188122197016063,0.0016948457397671097,7.18981704275583
EVAL_00045,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04261620092625858,7.188179903608162,0.0016927070414520526,7.189872610649615
EVAL_00046,optimization,0.002,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04261620092625858,7.188449939148552,0.0016601300714210853,7.1901100692199735
EVAL_00047,optimization,0.0,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04261620092625858,7.199952515649495,0.0016928670414520525,7.2016453826909475
EVAL_00048,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04461620092625858,7.188162815016093,0.001694451689489103,7.189857266705582
EVAL_00049,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.043053847306666206,7.188123421915203,0.0016930819733172375,7.189816503888521
