authoritative_point,scan_axis,nominal_scan_angle,qm_relative_kcal_mol,mm_relative_kcal_mol,qm_minus_mm_residual_kcal_mol,physical_torsion_id,physical_torsion_relationship,physical_dihedral_degrees
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,CHI_I01_8-9-25-55,CHI,-179.4845909184616
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,CHI_I02_10-9-25-55,CHI,58.38616262015418
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,CHI_I03_36-9-25-55,CHI,-62.037174907130016
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I04_7-8-9-10,PHI,55.66335235940862
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I05_7-8-9-25,PHI,-68.19892819261213
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I06_7-8-9-36,PHI,174.691296026535
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I07_10-9-8-34,PHI,-68.17827022277912
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I08_10-9-8-35,PHI,176.43970922346801
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I09_25-9-8-34,PHI,167.95944922520013
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I10_25-9-8-35,PHI,52.577428671447265
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I11_34-8-9-36,PHI,50.849673444347275
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PHI_I12_35-8-9-36,PHI,-64.5323471094056
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PSI_I13_1-7-8-9,PSI,-53.08102066185696
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PSI_I14_6-7-8-9,PSI,129.17765436660937
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PSI_I15_1-7-8-34,PSI,71.60649224612784
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PSI_I16_1-7-8-35,PSI,-173.0558701584555
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PSI_I17_6-7-8-34,PSI,-106.13483272540583
CHI_-180,CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,PSI_I18_6-7-8-35,PSI,9.20280487001085
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,CHI_I01_8-9-25-55,CHI,-165.62215597574206
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,CHI_I02_10-9-25-55,CHI,71.74637156776764
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,CHI_I03_36-9-25-55,CHI,-48.632624854234464
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I04_7-8-9-10,PHI,55.55016436636341
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I05_7-8-9-25,PHI,-68.68957303484792
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I06_7-8-9-36,PHI,174.49909268076374
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I07_10-9-8-34,PHI,-68.19539004055152
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I08_10-9-8-35,PHI,176.3228215018185
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I09_25-9-8-34,PHI,167.56487255823717
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I10_25-9-8-35,PHI,52.083084100607174
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I11_34-8-9-36,PHI,50.75353827384881
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PHI_I12_35-8-9-36,PHI,-64.7282501837812
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PSI_I13_1-7-8-9,PSI,-52.829264487234425
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PSI_I14_6-7-8-9,PSI,129.43898657425436
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PSI_I15_1-7-8-34,PSI,71.77316912885584
CHI_-165,CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,PSI_I16_1-7-8-35,PSI,-172.81273051714555
