candidate,axis,angle_degrees,qm_relative_kcal_mol,c1_mm_relative_kcal_mol,c3_mm_relative_kcal_mol,direct_new_term_on_c1_geometry,c3_relaxed_geometry_persisted,delta_bond,delta_angle,delta_dihedral,delta_vdw,delta_elec,delta_vdw_14,delta_elec_14,relative_profile_response,direct_fixed_geometry_effect,relaxation_mediated_effect
C3C_CHI_N2_PHI_N3,CHI,-30,1.8731815879809242,0.9701925301257859,1.169495776572802,12.035269924690779,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.19930324644701614,0.1275280342974785,0.07177521214953764
C3C_CHI_N2_PHI_N3,CHI,-15,1.8830474967830666,1.6361622554444182,1.864921700720103,12.108740748582841,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.22875944527568493,0.200998858189541,0.02776058708614393
C3C_CHI_N2_PHI_N3,CHI,0,1.53761834092137,1.8478576779244804,2.1604182555996516,12.227716647842396,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.3125605776751712,0.31997475744909565,-0.007414179773924445
C3C_CHI_N2_PHI_N3,CHI,15,0.8500053424677801,1.4154931394706267,1.7654063119950365,12.247515239693147,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.3499131725244098,0.3397733492998469,0.01013982322456286
C3C_CHI_N2_PHI_N3,CHI,30,0.1979165005694423,0.6669545439352547,0.9459354775252962,12.117829091422372,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.2789809335900415,0.2100872010290722,0.06889373256096931
C3C_CHI_N2_PHI_N3,CHI,45,0.0,0.07355587384662954,0.20850870597401183,11.9077418903933,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.1349528321273823,0.0,0.1349528321273823
C3C_CHI_N2_PHI_N3,CHI,60,0.32618472333560894,0.0,0.0,11.704517391287183,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.0,-0.20322449910611695,0.20322449910611695
C3C_CHI_N2_PHI_N3,CHI,75,1.0408015037026501,0.5731401091874204,0.4662670756020191,11.509799465896936,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.10687303358540134,-0.39794242449636386,0.2910693909109625
C3C_CHI_N2_PHI_N3,CHI,90,2.0223598887749024,1.698455552272378,1.538846023913237,11.37781166249018,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.159609528359141,-0.5299302279031206,0.3703206995439796
C3C_CHI_N2_PHI_N3,CHI,105,3.0480034924252344,2.717053022660977,2.58144804628121,11.403646144084384,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.1356049763797671,-0.5040957463089164,0.3684907699291493
