experimental_term,physical_instance,scan_axis,angle_degrees,qm_relative_kcal_mol,direct_instance_energy_kcal_mol
CHI_N2_RESIDUAL,10-9-25-55,CHI,-15,1.8830474967830666,5.3607045984823334e-05
CHI_N2_RESIDUAL,10-9-25-55,CHI,0,1.53761834092137,0.1222030756084419
CHI_N2_RESIDUAL,10-9-25-55,CHI,15,0.8500053424677801,0.4287501900380379
CHI_N2_RESIDUAL,10-9-25-55,CHI,30,0.1979165005694423,0.8172255034018802
CHI_N2_RESIDUAL,10-9-25-55,CHI,45,0.0,1.1803563318822061
CHI_N2_RESIDUAL,10-9-25-55,CHI,60,0.32618472333560894,1.4240555293734036
CHI_N2_RESIDUAL,10-9-25-55,CHI,75,1.0408015037026501,1.5324937501935756
CHI_N2_RESIDUAL,10-9-25-55,CHI,90,2.0223598887749024,1.4451260302997753
CHI_N2_RESIDUAL,10-9-25-55,CHI,105,3.0480034924252344,1.1855607816353655
CHI_N2_RESIDUAL,10-9-25-55,CHI,120,3.7373350122694022,0.7837120900589252
CHI_N2_RESIDUAL,10-9-25-55,CHI,135,3.8030037733710786,0.35130744428186067
CHI_N2_RESIDUAL,10-9-25-55,CHI,150,3.292878201783699,0.07832756789620264
CHI_N2_RESIDUAL,10-9-25-55,CHI,165,2.5316328285396272,0.0013854154569442022
CHI_N2_RESIDUAL,10-9-25-55,PHI,-180,12.297421019351964,1.4179920330589122
CHI_N2_RESIDUAL,10-9-25-55,PHI,-165,12.017065696114134,1.4212204144437057
CHI_N2_RESIDUAL,10-9-25-55,PHI,-150,12.14534987811232,1.4054169349631647
CHI_N2_RESIDUAL,10-9-25-55,PHI,-135,12.088672339648122,1.373296815493313
CHI_N2_RESIDUAL,10-9-25-55,PHI,-120,9.406090467076242,1.3324274080082226
CHI_N2_RESIDUAL,10-9-25-55,PHI,-105,5.389702277432289,1.3165609171639387
CHI_N2_RESIDUAL,10-9-25-55,PHI,-90,1.8840517384563273,1.3273427320907893
CHI_N2_RESIDUAL,10-9-25-55,PHI,-75,0.0,1.3434576528291136
CHI_N2_RESIDUAL,10-9-25-55,PHI,-60,1.1679589391511374,1.3557224588571186
CHI_N2_RESIDUAL,10-9-25-55,PHI,-45,5.348395421266241,0.49944247989577195
CHI_N2_RESIDUAL,10-9-25-55,PHI,-30,12.61886348886727,0.422318410540513
CHI_N2_RESIDUAL,10-9-25-55,PHI,-15,24.120153734931876,0.3637305086106838
CHI_N2_RESIDUAL,10-9-25-55,PHI,0,39.62646469177788,0.3284160672416087
CHI_N2_RESIDUAL,10-9-25-55,PHI,105,36.46525443667219,0.038217873188754296
CHI_N2_RESIDUAL,10-9-25-55,PHI,120,25.91194918747669,0.8875451994717736
CHI_N2_RESIDUAL,10-9-25-55,PHI,135,18.085910819557824,1.1574954698267064
CHI_N2_RESIDUAL,10-9-25-55,PHI,150,13.569233322541978,1.3116490767752238
CHI_N2_RESIDUAL,10-9-25-55,PHI,165,12.21349737743903,1.38974955381976
CHI_N2_RESIDUAL,10-9-25-55,PSI,-105,32.011747071349355,1.4526778029931515
CHI_N2_RESIDUAL,10-9-25-55,PSI,-90,14.696882575166297,1.398055199177535
CHI_N2_RESIDUAL,10-9-25-55,PSI,-75,4.330868332829533,1.3618313787841207
CHI_N2_RESIDUAL,10-9-25-55,PSI,-60,0.0,1.3502338658031003
CHI_N2_RESIDUAL,10-9-25-55,PSI,-45,0.19638589416353,1.3493259019020527
CHI_N2_RESIDUAL,10-9-25-55,PSI,-30,3.0779934750218234,1.3551239386517844
CHI_N2_RESIDUAL,10-9-25-55,PSI,-15,6.97513939178259,1.3658760495595381
CHI_N2_RESIDUAL,10-9-25-55,PSI,0,10.412722960962697,1.3816058970070015
CHI_N2_RESIDUAL,10-9-25-55,PSI,15,11.945479233545104,1.4002980360713426
CHI_N2_RESIDUAL,10-9-25-55,PSI,30,11.696853683615846,1.422086317278667
CHI_N2_RESIDUAL,10-9-25-55,PSI,45,12.409782605194598,1.4399169523098123
CHI_N2_RESIDUAL,10-9-25-55,PSI,60,15.683428081132595,1.4586518571629068
CHI_N2_RESIDUAL,10-9-25-55,PSI,75,23.207234060776265,1.4803338359355998
CHI_N2_RESIDUAL,10-9-25-55,PSI,90,36.77978373595889,1.500596461776244
CHI_N2_RESIDUAL,36-9-25-55,CHI,-180,1.8361875979134048,1.4387045455357697
CHI_N2_RESIDUAL,36-9-25-55,CHI,-165,1.4130028718141248,1.5329319688745349
CHI_N2_RESIDUAL,36-9-25-55,CHI,-150,1.3982414847839755,1.4473652918763453
CHI_N2_RESIDUAL,36-9-25-55,CHI,-135,1.7201805587324959,1.1739036348069627
CHI_N2_RESIDUAL,36-9-25-55,CHI,-120,2.1004462123625456,0.7454378507247313
CHI_N2_RESIDUAL,36-9-25-55,CHI,-105,2.282405294363951,0.34605500925842314
CHI_N2_RESIDUAL,36-9-25-55,CHI,-90,2.191846518770847,0.07715523915355227
CHI_N2_RESIDUAL,36-9-25-55,CHI,-75,1.9493375527533943,0.0015880794585297747
CHI_N2_RESIDUAL,36-9-25-55,CHI,-60,1.7582771045303314,0.12010270445267798
CHI_N2_RESIDUAL,36-9-25-55,CHI,-45,1.7517423921353694,0.3754045137172769
CHI_N2_RESIDUAL,36-9-25-55,CHI,-30,1.8731815879809242,0.7482744969567556
CHI_N2_RESIDUAL,36-9-25-55,CHI,-15,1.8830474967830666,1.1377983221933545
CHI_N2_RESIDUAL,36-9-25-55,CHI,0,1.53761834092137,1.444475246029857
CHI_N2_RESIDUAL,36-9-25-55,CHI,15,0.8500053424677801,1.5322649891879803
CHI_N2_RESIDUAL,36-9-25-55,CHI,30,0.1979165005694423,1.4083979217238392
CHI_N2_RESIDUAL,36-9-25-55,CHI,45,0.0,1.1231008418929258
CHI_N2_RESIDUAL,36-9-25-55,CHI,60,0.32618472333560894,0.7812401251042733
CHI_N2_RESIDUAL,36-9-25-55,CHI,75,1.0408015037026501,0.41429296781206293
CHI_N2_RESIDUAL,36-9-25-55,CHI,90,2.0223598887749024,0.11656378062116611
CHI_N2_RESIDUAL,36-9-25-55,CHI,105,3.0480034924252344,0.0011125217532973121
CHI_N2_RESIDUAL,36-9-25-55,CHI,120,3.7373350122694022,0.09195295873276162
CHI_N2_RESIDUAL,36-9-25-55,CHI,135,3.8030037733710786,0.40572760370108885
CHI_N2_RESIDUAL,36-9-25-55,CHI,150,3.292878201783699,0.8026386111692406
CHI_N2_RESIDUAL,36-9-25-55,CHI,165,2.5316328285396272,1.177518938847689
CHI_N2_RESIDUAL,36-9-25-55,PHI,-180,12.297421019351964,0.7749418139178187
CHI_N2_RESIDUAL,36-9-25-55,PHI,-165,12.017065696114134,0.7572684243522692
CHI_N2_RESIDUAL,36-9-25-55,PHI,-150,12.14534987811232,0.7441025390610138
CHI_N2_RESIDUAL,36-9-25-55,PHI,-135,12.088672339648122,0.7489074878010249
CHI_N2_RESIDUAL,36-9-25-55,PHI,-120,9.406090467076242,0.7707642548943506
CHI_N2_RESIDUAL,36-9-25-55,PHI,-105,5.389702277432289,0.8023987875607109
CHI_N2_RESIDUAL,36-9-25-55,PHI,-90,1.8840517384563273,0.841516509446149
CHI_N2_RESIDUAL,36-9-25-55,PHI,-75,0.0,0.8887351041861661
CHI_N2_RESIDUAL,36-9-25-55,PHI,-60,1.1679589391511374,0.9321116205289185
CHI_N2_RESIDUAL,36-9-25-55,PHI,-45,5.348395421266241,0.22774047460452504
CHI_N2_RESIDUAL,36-9-25-55,PHI,-30,12.61886348886727,0.29141860800326697
CHI_N2_RESIDUAL,36-9-25-55,PHI,-15,24.120153734931876,0.37971052658195764
CHI_N2_RESIDUAL,36-9-25-55,PHI,0,39.62646469177788,0.49139226222537974
CHI_N2_RESIDUAL,36-9-25-55,PHI,105,36.46525443667219,1.4161414784321118
CHI_N2_RESIDUAL,36-9-25-55,PHI,120,25.91194918747669,0.7383447307568134
CHI_N2_RESIDUAL,36-9-25-55,PHI,135,18.085910819557824,0.7347408750250947
CHI_N2_RESIDUAL,36-9-25-55,PHI,150,13.569233322541978,0.7673489938626984
CHI_N2_RESIDUAL,36-9-25-55,PHI,165,12.21349737743903,0.7747604557243096
CHI_N2_RESIDUAL,36-9-25-55,PSI,-105,32.011747071349355,0.7982063338067226
CHI_N2_RESIDUAL,36-9-25-55,PSI,-90,14.696882575166297,0.8966480544164211
CHI_N2_RESIDUAL,36-9-25-55,PSI,-75,4.330868332829533,0.9342721566844935
CHI_N2_RESIDUAL,36-9-25-55,PSI,-60,0.0,0.9212992858198104
CHI_N2_RESIDUAL,36-9-25-55,PSI,-45,0.19638589416353,0.8931365260875118
CHI_N2_RESIDUAL,36-9-25-55,PSI,-30,3.0779934750218234,0.8621666306914788
CHI_N2_RESIDUAL,36-9-25-55,PSI,-15,6.97513939178259,0.8290918991829819
CHI_N2_RESIDUAL,36-9-25-55,PSI,0,10.412722960962697,0.7902142222775844
CHI_N2_RESIDUAL,36-9-25-55,PSI,15,11.945479233545104,0.7473370066642533
CHI_N2_RESIDUAL,36-9-25-55,PSI,30,11.696853683615846,0.7496627627466195
CHI_N2_RESIDUAL,36-9-25-55,PSI,45,12.409782605194598,0.7714096492761465
CHI_N2_RESIDUAL,36-9-25-55,PSI,60,15.683428081132595,0.7807495782203159
CHI_N2_RESIDUAL,36-9-25-55,PSI,75,23.207234060776265,0.782173675343913
CHI_N2_RESIDUAL,36-9-25-55,PSI,90,36.77978373595889,0.7812008996109193
PHI_N3_RESIDUAL,7-8-9-10,CHI,-180,1.8361875979134048,1.1180569715965911
PHI_N3_RESIDUAL,7-8-9-10,CHI,-165,1.4130028718141248,1.1136003732769983
PHI_N3_RESIDUAL,7-8-9-10,CHI,-150,1.3982414847839755,1.1121664777778908
PHI_N3_RESIDUAL,7-8-9-10,CHI,-135,1.7201805587324959,1.115359422586925
PHI_N3_RESIDUAL,7-8-9-10,CHI,-120,2.1004462123625456,1.1237366532473343
PHI_N3_RESIDUAL,7-8-9-10,CHI,-105,2.282405294363951,1.132825537539793
PHI_N3_RESIDUAL,7-8-9-10,CHI,-90,2.191846518770847,1.1388309595253965
PHI_N3_RESIDUAL,7-8-9-10,CHI,-75,1.9493375527533943,1.1406362138221697
PHI_N3_RESIDUAL,7-8-9-10,CHI,-60,1.7582771045303314,1.1404093588172186
PHI_N3_RESIDUAL,7-8-9-10,CHI,-45,1.7517423921353694,1.141223256376309
PHI_N3_RESIDUAL,7-8-9-10,CHI,-30,1.8731815879809242,1.145076194164874
PHI_N3_RESIDUAL,7-8-9-10,CHI,-15,1.8830474967830666,1.151644531303763
PHI_N3_RESIDUAL,7-8-9-10,CHI,0,1.53761834092137,1.158033260007168
PHI_N3_RESIDUAL,7-8-9-10,CHI,15,0.8500053424677801,1.1566887202773262
PHI_N3_RESIDUAL,7-8-9-10,CHI,30,0.1979165005694423,1.1456805454624024
PHI_N3_RESIDUAL,7-8-9-10,CHI,45,0.0,1.129895925128319
PHI_N3_RESIDUAL,7-8-9-10,CHI,60,0.32618472333560894,1.1151764450136383
PHI_N3_RESIDUAL,7-8-9-10,CHI,75,1.0408015037026501,1.1015361781006394
PHI_N3_RESIDUAL,7-8-9-10,CHI,90,2.0223598887749024,1.0923660567838902
PHI_N3_RESIDUAL,7-8-9-10,CHI,105,3.0480034924252344,1.094356234918844
PHI_N3_RESIDUAL,7-8-9-10,CHI,120,3.7373350122694022,1.1067880202410572
PHI_N3_RESIDUAL,7-8-9-10,CHI,135,3.8030037733710786,1.1248665006416811
PHI_N3_RESIDUAL,7-8-9-10,CHI,150,3.292878201783699,1.1327934796038335
PHI_N3_RESIDUAL,7-8-9-10,CHI,165,2.5316328285396272,1.1261526384995497
PHI_N3_RESIDUAL,7-8-9-10,PHI,-180,12.297421019351964,1.534812871412938
PHI_N3_RESIDUAL,7-8-9-10,PHI,-165,12.017065696114134,1.604337403369023
PHI_N3_RESIDUAL,7-8-9-10,PHI,-150,12.14534987811232,1.228406880973332
PHI_N3_RESIDUAL,7-8-9-10,PHI,-135,12.088672339648122,0.5365735126964188
PHI_N3_RESIDUAL,7-8-9-10,PHI,-120,9.406090467076242,0.029592909864510714
