candidate,axis,angle_degrees,qm_relative_kcal_mol,c1_mm_relative_kcal_mol,c3_mm_relative_kcal_mol,direct_new_term_on_c1_geometry,c3_relaxed_geometry_persisted,delta_bond,delta_angle,delta_dihedral,delta_vdw,delta_elec,delta_vdw_14,delta_elec_14,relative_profile_response,direct_fixed_geometry_effect,relaxation_mediated_effect
C3B_PHI_N3,CHI,-30,1.8731815879809242,0.9701925301257859,1.1571202910664056,9.45661088420824,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.1869277609406197,0.18067116946828854,0.006256591472331152
C3B_PHI_N3,CHI,-15,1.8830474967830666,1.6361622554444182,1.9498309959777913,9.555173037351588,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.3136687405333731,0.2792333226116366,0.034435417921736544
C3B_PHI_N3,CHI,0,1.53761834092137,1.8478576779244804,2.30850194566915,9.664208785908068,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.4606442677446694,0.38826907116811604,0.07237519657655334
C3B_PHI_N3,CHI,15,0.8500053424677801,1.4154931394706267,1.9238854988519307,9.65860193724583,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.508392359381304,0.38266222250587845,0.12573013687542556
C3B_PHI_N3,CHI,30,0.1979165005694423,0.6669545439352547,1.0814485714646906,9.50859314682876,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.414494027529436,0.2326534320888083,0.1818405954406277
C3B_PHI_N3,CHI,45,0.0,0.07355587384662954,0.2897275426800121,9.275939714739952,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.21617166883338257,0.0,0.21617166883338257
C3B_PHI_N3,CHI,60,0.32618472333560894,0.0,0.0,9.039087364934845,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,0.0,-0.2368523498051065,0.2368523498051065
C3B_PHI_N3,CHI,75,1.0408015037026501,0.5731401091874204,0.3612939417901089,8.800493063655507,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.21184616739731155,-0.47544665108444484,0.2636004836871333
C3B_PHI_N3,CHI,90,2.0223598887749024,1.698455552272378,1.2889723717968735,8.642418527319323,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.4094831804755046,-0.6335211874206284,0.22403800694512377
C3B_PHI_N3,CHI,105,3.0480034924252344,2.717053022660977,2.3613350819321255,8.688881170554746,False,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,NOT_AVAILABLE_C3_AUTHORITATIVE_COORDINATES_NOT_PERSISTED,-0.35571794072885154,-0.5870585441852061,0.23134060345635454
