axis,angle_degrees,qm_relative_kcal_mol,mm_relative_kcal_mol,residual_kcal_mol,target_angle_degrees,converged,target_pass,mm_absolute_energy_kcal_mol
CHI,-180,1.8361875979134048,0.9582242246733017,0.8779633732401031,-179.48496268870372,True,True,59.24933043136235
CHI,-165,1.4130028718141248,1.1939221400524218,0.21908073176170295,-165.62045611948537,True,True,59.48502834674147
CHI,-150,1.3982414847839755,1.943371451069801,-0.5451299662858256,-150.6915811012653,True,True,60.23447765775885
CHI,-135,1.7201805587324959,2.759086923386228,-1.038906364653732,-135.64392129643858,True,True,61.05019313007528
CHI,-120,2.1004462123625456,3.1063727716977425,-1.005926559335197,-119.48567508410814,True,True,61.39747897838679
CHI,-105,2.282405294363951,2.6632638730577156,-0.3808585786937648,-104.33060973747162,True,True,60.95437007974677
CHI,-90,2.191846518770847,1.6935367559622136,0.4983097628086335,-89.26663488212674,True,True,59.984642962651264
CHI,-75,1.9493375527533943,0.7204590619461726,1.2288784908072217,-74.32422787762847,True,True,59.01156526863522
CHI,-60,1.7582771045303314,0.22031596963224587,1.5379611348980855,-59.46187408270381,True,True,58.5114221763213
CHI,-45,1.7517423921353694,0.3470600027912667,1.4046823893441027,-45.59205110830438,True,True,58.63816620948032
CHI,-30,1.8731815879809242,0.9547940058026256,0.9183875821782985,-30.657474522209256,True,True,59.24590021249168
CHI,-15,1.8830474967830666,1.6058609986984322,0.27718649808463436,-15.607745892605877,True,True,59.89696720538748
CHI,0,1.53761834092137,1.8094005217068485,-0.27178218078547856,0.5315078188766368,True,True,60.1005067283959
CHI,15,0.8500053424677801,1.3828067476146586,-0.5328014051468785,15.642509220304946,True,True,59.67391295430371
CHI,30,0.1979165005694423,0.6479263307409724,-0.45000983017153007,30.66095235124377,True,True,58.93903253743002
CHI,45,0.0,0.06742864541513427,-0.06742864541513427,45.57985637391346,True,True,58.358534852104185
CHI,60,0.32618472333560894,0.0,0.32618472333560894,59.44718990473072,True,True,58.29110620668905
CHI,75,1.0408015037026501,0.5708265245132651,0.469974979189385,74.30760441299435,True,True,58.861932731202316
CHI,90,2.0223598887749024,1.6836862010146803,0.3386736877602221,90.00008905639453,True,True,59.97479240770373
CHI,105,3.0480034924252344,2.6869574799006273,0.3610460125246071,104.3089592402208,True,True,60.97806368658968
CHI,120,3.7373350122694022,3.246732732382668,0.4906022798867342,119.45649838613073,True,True,61.53783893907172
CHI,135,3.8030037733710786,3.044509293603113,0.7584944797679656,135.61951818425675,True,True,61.335615500292164
CHI,150,3.292878201783699,2.259776260625891,1.033101941157808,150.70502872244722,True,True,60.55088246731494
CHI,165,2.5316328285396272,1.37309092370851,1.1585419048311172,165.6601228895605,True,True,59.66419713039756
PHI,-180,12.297421019351964,14.130781190303516,-1.8333601709515523,-179.36121297134463,True,True,72.60467232967014
PHI,-165,12.017065696114134,13.579973474991526,-1.562907778877392,-164.4123277976935,True,True,72.05386461435815
PHI,-150,12.14534987811232,13.197777142395246,-1.052427264282926,-149.37970731931662,True,True,71.67166828176187
PHI,-135,12.088672339648122,12.180704094211585,-0.0920317545634628,-135.0217730404228,True,True,70.6545952335782
PHI,-120,9.406090467076242,9.631367842750855,-0.22527737567461337,-120.02160583976062,True,True,68.10525898211748
PHI,-105,5.389702277432289,5.937719162684878,-0.5480168852525891,-104.99642421087398,True,True,64.4116103020515
PHI,-90,1.8840517384563273,2.3590584614773533,-0.475006723021026,-89.97841408019205,True,True,60.832949600843975
PHI,-75,0.0,0.0,0.0,-74.25255023213485,True,True,58.47389113936662
PHI,-60,1.1679589391511374,0.34918361864565384,0.8187753205054835,-60.052713433972876,True,True,58.823074758012275
PHI,-45,5.348395421266241,4.410079113278037,0.9383163079882033,-45.12131102216445,True,True,62.88397025264466
PHI,-30,12.61886348886727,13.306527107051103,-0.6876636181838336,-30.19767435945938,True,True,71.78041824641772
PHI,-15,24.120153734931876,27.279617370938247,-3.1594636360063717,-15.251121065035814,True,True,85.75350851030487
PHI,0,39.62646469177788,45.96007808948409,-6.333613397706209,-0.26813172568717347,True,True,104.43396922885071
PHI,105,36.46525443667219,41.099554433478495,-4.634299996806305,104.96356217391325,True,True,99.57344557284512
PHI,120,25.91194918747669,32.0106097199317,-6.0986605324550105,120.01883708930191,True,True,90.48450085929832
PHI,135,18.085910819557824,23.46055358803958,-5.374642768481756,135.0711995577528,True,True,81.9344447274062
PHI,150,13.569233322541978,17.163444956942563,-3.594211634400585,150.07812021193877,True,True,75.63733609630918
PHI,165,12.21349737743903,14.55843606660087,-2.3449386891618396,165.6731090987672,True,True,73.03232720596749
PSI,-105,32.011747071349355,38.53127023640633,-6.519523165056974,-104.2633930090489,True,True,97.1712695941046
PSI,-90,14.696882575166297,17.206473432213556,-2.509590857047259,-89.55040185708263,True,True,75.84647278991183
PSI,-75,4.330868332829533,4.897001225444384,-0.566132892614851,-74.7876287574359,True,True,63.53700058314266
PSI,-60,0.0,0.0,0.0,-59.93991570596147,True,True,58.63999935769827
PSI,-45,0.19638589416353,0.17563313759812615,0.020752756565403846,-45.031213408148616,True,True,58.8156324952964
PSI,-30,3.0779934750218234,2.9092579854130634,0.16873548960876006,-30.01321862565948,True,True,61.549257343111336
PSI,-15,6.97513939178259,6.428165392532065,0.5469739992505245,-14.998921332661087,True,True,65.06816475023034
PSI,0,10.412722960962697,9.874588775202099,0.5381341857605975,0.01187624386954078,True,True,68.51458813290037
PSI,15,11.945479233545104,12.49332791082476,-0.5478486772796565,15.029579099241122,True,True,71.13332726852303
PSI,30,11.696853683615846,13.310980316881484,-1.6141266332656379,29.39193855574042,True,True,71.95097967457976
PSI,45,12.409782605194598,14.526930181954242,-2.1171475767596437,44.95563655873839,True,True,73.16692953965251
PSI,60,15.683428081132595,18.97042679569283,-3.2869987145602355,59.86433901746805,True,True,77.6104261533911
PSI,75,23.207234060776265,28.692561054213286,-5.48532699343702,74.7251242272393,True,True,87.33256041191156
PSI,90,36.77978373595889,45.09525636299739,-8.315472627038503,89.52764994714586,True,True,103.73525572069566
