evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N1_PHASE0,PHI_N2_PHASE180,equal_surface_profile_mse,regularization,objective
EVAL_00001,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,0.0,16.4275792634469,0.0,16.4275792634469
EVAL_00002,optimization,0.20660606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,0.0,16.426988707322124,1.600000000000003e-07,16.426988867322123
EVAL_00003,optimization,0.20460606269354412,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,0.0,16.44427802772442,1.6e-07,16.444278187724418
EVAL_00004,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002,0.0,16.42732246570234,4e-08,16.42732250570234
EVAL_00005,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,0.002,16.427468289780947,4e-08,16.427468329780947
EVAL_00006,optimization,0.4998041250826343,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.1283788722812318,0.05546683297730226,16.431951406295088,0.003681252885618255,16.435632659180705
EVAL_00007,optimization,0.5018041250826343,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.1283788722812318,0.05546683297730226,16.43280343384266,0.0037286445756005092,16.43653207841826
EVAL_00008,optimization,0.4998041250826343,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.1283788722812318,0.05546683297730226,16.45340166531308,0.0036814128856182547,16.4570830781987
EVAL_00009,optimization,0.4998041250826343,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.1303788722812318,0.05546683297730226,16.431659320284183,0.003686428040509504,16.435345748324693
EVAL_00010,optimization,0.4998041250826343,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.1283788722812318,0.05746683297730226,16.431964890889333,0.003683511558937347,16.43564840244827
EVAL_00011,optimization,0.3388597185564826,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.05838565741193565,0.025225860380230718,16.405822649112256,0.000761414054736041,16.406584063166992
EVAL_00012,optimization,0.3408597185564826,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.05838565741193565,0.025225860380230718,16.40589902215893,0.000783054639674111,16.406682076798603
EVAL_00013,optimization,0.3388597185564826,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.05838565741193565,0.025225860380230718,16.42463218467117,0.000761574054736041,16.425393758725907
EVAL_00014,optimization,0.3388597185564826,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.060385657411935655,0.025225860380230718,16.40550679923712,0.0007637894810325185,16.40627058871815
EVAL_00015,optimization,0.3388597185564826,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.05838565741193565,0.02722586038023072,16.40576606030201,0.0007624630891512502,16.406528523391163
EVAL_00016,optimization,0.34903746340346814,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0698141764292741,0.02859249742666874,16.405022930325526,0.0008913326818371444,16.405914263007364
EVAL_00017,optimization,0.35103746340346814,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0698141764292741,0.02859249742666874,16.405023608153424,0.0009146017059507322,16.405938209859375
EVAL_00018,optimization,0.34903746340346814,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0698141764292741,0.02859249742666874,16.42404472643872,0.0008914926818371444,16.424936219120557
EVAL_00019,optimization,0.34903746340346814,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0718141764292741,0.02859249742666874,16.40463311643954,0.0008941652488943152,16.405527281688435
