enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7A,neutral,806519,18,-7.253,13,0,0,3.2535220915186667,0,0,32.53484642400252,65.93339525115843,False
7A,neutral,806519,19,-7.213,11,0,0,3.5240468214823717,0,0,35.52320407475478,62.300016315711034,False
7A,neutral,806519,20,-7.096,3,0,0,3.4020302761733316,0,0,32.16111682816602,64.09117023306267,False
7A,monocation,172904,1,-7.997,1,0,0,3.2957166140310075,0,0,35.05317547294353,67.60662230493735,False
7A,monocation,172904,2,-7.863,1,0,0,3.2058916076498907,0,0,37.72521627357108,67.72953223339542,False
7A,monocation,172904,3,-7.8,1,0,0,3.143310993204459,0,0,37.55502485417732,68.37697668598636,False
7A,monocation,172904,4,-7.699,2,0,0,3.0923256620220325,0,0,33.18754701272985,70.89084195115836,False
7A,monocation,172904,5,-7.632,12,0,0,3.5276679265486424,0,0,36.297141881251626,66.23896299798565,False
7A,monocation,172904,6,-7.554,8,0,0,3.581083216011603,0,0,23.596017444916022,67.03323838289201,False
7A,monocation,172904,7,-7.508,9,0,0,2.8584027008103674,0,0,36.79312882538036,58.969607027351124,False
7A,monocation,172904,8,-7.472,13,0,0,3.182088150884572,0,0,35.680851356739545,68.67353192701466,False
7A,monocation,172904,9,-7.447,14,0,0,3.0436711386087696,0,0,36.67463891340646,68.54280864935568,False
7A,monocation,172904,10,-7.37,3,0,0,6.9459899942340835,0,0,35.588976376882066,64.85919022288255,False
7A,monocation,172904,11,-7.339,4,0,0,3.4113979539185992,0,0,34.95722749421084,68.17980599492628,False
7A,monocation,172904,12,-7.335,5,0,0,3.609743619704867,0,0,33.289013698046105,58.73938092549655,False
7A,monocation,172904,13,-7.312,10,0,0,3.465028427011818,0,0,46.67076867950652,64.35649056945272,False
7A,monocation,172904,14,-7.193,6,0,0,3.6100815780256266,0,0,28.004621217350525,60.28562480727211,False
7A,monocation,172904,15,-7.15,7,0,0,3.3980067686807214,0,0,37.34656376485384,57.264777425776046,False
7A,monocation,172904,16,-7.145,15,0,0,3.472307302068756,0,0,37.602643037546926,62.05660106120412,False
7A,monocation,172904,17,-7.143,6,0,0,3.3787728541587407,0,0,32.27357156285433,61.23418445062734,False
7A,monocation,172904,18,-7.124,16,0,0,3.3670126224889625,0,0,40.246124008267444,60.763034955102846,False
7A,monocation,172904,19,-7.107,11,0,0,2.994478251715982,0,0,34.90556808298639,56.76429526575848,False
7A,monocation,172904,20,-7.106,17,0,0,3.54703904686712,0,0,40.924840604278785,62.66432143644325,False
7A,monocation,483271,1,-7.953,1,0,0,3.2977231539351526,0,0,34.13118791353058,67.52157402445958,False
7A,monocation,483271,2,-7.902,2,0,0,2.80676504182306,0,0,41.52014506011778,72.37373300673723,False
7A,monocation,483271,3,-7.836,1,0,0,3.448636542171413,0,0,37.5067370271021,67.79972321156204,False
7A,monocation,483271,4,-7.787,1,0,0,3.1814223234270544,0,0,37.229363938212714,68.67351244987873,False
7A,monocation,483271,5,-7.6,5,0,0,3.5951045881865515,0,0,33.58252604284618,60.403383865546196,False
7A,monocation,483271,6,-7.549,2,0,0,3.213041549684659,0,0,33.18288941339689,69.07747606120898,False
7A,monocation,483271,7,-7.529,3,0,0,6.7298261493147065,0,0,21.01293422359236,66.75842745308222,False
7A,monocation,483271,8,-7.51,4,0,0,3.082434589735847,0,0,41.68309293697507,69.19964702149845,False
7A,monocation,483271,9,-7.474,9,0,0,2.802693704278083,0,0,25.84259775886982,58.861932258490285,False
7A,monocation,483271,10,-7.469,8,0,0,3.6297291910003424,0,0,22.216562186895132,67.25174789970814,False
7A,monocation,483271,11,-7.383,2,0,0,3.2245560934801554,0,0,36.5012861724791,67.54880301016001,False
7A,monocation,483271,12,-7.366,4,0,0,3.099832737423102,0,0,29.095210309711007,70.8089115846252,False
7A,monocation,483271,13,-7.358,10,0,0,3.451206600596376,0,0,46.071381948110265,64.17756400049545,False
7A,monocation,483271,14,-7.242,7,0,0,3.6975506757852563,0,0,38.221603468371526,56.761437158218214,False
7A,monocation,483271,15,-7.195,12,0,0,2.9684394890244943,0,0,32.65416001418264,67.56018308800125,False
7A,monocation,483271,16,-7.184,6,0,0,3.6278459173454443,0,0,27.519763600406137,61.115574103759634,False
7A,monocation,483271,17,-7.178,18,0,0,3.3907571425862986,0,0,29.26681715452075,57.61031151804925,False
7A,monocation,483271,18,-7.101,15,0,0,3.451632367445873,0,0,38.99567370914761,64.21253587602645,False
7A,monocation,483271,19,-7.1,11,0,0,2.9724173663871634,0,0,31.977060991193035,55.213586772216566,False
7A,monocation,483271,20,-6.986,7,0,0,3.5554108060813454,0,0,40.7648393702015,53.610009908621926,False
7A,monocation,806519,1,-7.976,1,0,0,3.2946187943372154,0,0,34.495780734003986,67.58032983104006,False
7A,monocation,806519,2,-7.904,2,0,0,2.8297752560936713,0,0,41.3916786876778,72.32054683687228,False
7A,monocation,806519,3,-7.8,1,0,0,3.1162870535302107,0,0,37.30748496982537,68.34829979262646,False
7A,monocation,806519,4,-7.707,13,0,0,3.3277095726640566,0,0,37.653840556449595,67.83342220883394,False
7A,monocation,806519,5,-7.659,1,0,0,3.1086370003588395,0,0,33.936778097520246,67.2317644550084,False
7A,monocation,806519,6,-7.546,5,0,0,3.536788656394385,0,0,33.58062055173704,60.65286609391655,False
7A,monocation,806519,7,-7.514,3,0,0,6.751544193738201,0,0,20.261134178645513,66.51373070929674,False
7A,monocation,806519,8,-7.502,9,0,0,2.8443278643644447,0,0,37.427867533073844,59.09505752599782,False
7A,monocation,806519,9,-7.484,8,0,0,3.656493812383661,0,0,22.308143308162514,67.54968732044094,False
7A,monocation,806519,10,-7.452,4,0,0,3.233771482340706,0,0,28.357676093365995,68.78793318833071,False
7A,monocation,806519,11,-7.429,14,0,0,3.1030414112608944,0,0,27.615922164736922,68.83146366557892,False
7A,monocation,806519,12,-7.296,19,0,0,3.3839874408750403,0,0,32.40105132228707,54.14810165139229,False
7A,monocation,806519,13,-7.271,2,0,0,3.266529810058375,0,0,32.10228332070422,69.59720223405324,False
7A,monocation,806519,14,-7.267,20,0,0,3.0542630862451916,0,0,33.10098564762702,70.47294968228725,False
7A,monocation,806519,15,-7.24,7,0,0,3.7911657837662562,0,0,38.52681146261849,56.332108919409535,False
7A,monocation,806519,16,-7.196,10,0,0,3.324044073113351,0,0,45.719528503451556,61.968514614145214,False
7A,monocation,806519,17,-7.16,3,0,0,5.7903012011466215,0,0,40.56997891675788,63.81152099960652,False
7A,monocation,806519,18,-7.138,5,0,0,3.5151236109132773,0,0,30.564587888276918,56.02996434568032,False
7A,monocation,806519,19,-7.121,6,0,0,3.450111592398136,0,0,34.51332276889734,61.72068093687079,False
7A,monocation,806519,20,-7.059,11,0,0,3.022497973531165,0,0,35.01655330649035,56.377014307995154,False
7B,neutral,172904,1,-7.347,1,0,0,3.406099381991077,0,0,31.95696302738282,61.68044215691509,False
7B,neutral,172904,2,-7.3,4,0,0,3.441192089959525,0,0,35.543844802912,62.13787780638111,False
7B,neutral,172904,3,-7.291,2,0,0,3.2070756149489217,0,0,40.921504939661894,63.102556972315604,False
