P,N,implementation,iterations,operator_applications,relative_residual,wall_ns,peak_heap_bytes,candidate_storage_bytes,explicit_covariance_bytes,explicit_control_wall_ns,explicit_update_max_error,passes
64,4096,MATRIX_FREE_NONE,14,14,3.6258873772960570e-13,14422000,274371144,12288,32768,19962334,1.7768009286101005e-12,true
64,4096,MATRIX_FREE_DIAGONAL,14,14,4.1998736058653854e-13,14161375,304779848,12288,32768,19962334,2.0206059048177850e-12,true
64,4096,MATRIX_FREE_BLOCK_BY_WAVEFUNCTION_COMPONENT,13,13,1.3759682598530045e-13,13972125,333091400,12288,32768,19962334,7.9536377484146210e-13,true
256,4096,MATRIX_FREE_NONE,21,21,3.1965639748992933e-13,84637875,359305800,49152,524288,108907917,2.2908341890115480e-12,true
256,4096,MATRIX_FREE_DIAGONAL,21,21,3.1138338341381130e-13,87075667,313684456,49152,524288,108907917,2.0476953466186387e-12,true
256,4096,MATRIX_FREE_BLOCK_BY_WAVEFUNCTION_COMPONENT,20,20,4.3034116901199800e-13,90307791,313684456,49152,524288,108907917,3.3075764349632664e-12,true
1024,4096,MATRIX_FREE_NONE,40,40,5.0888226523768130e-13,1349790792,329095576,196608,8388608,5159250,NaN,true
1024,4096,MATRIX_FREE_DIAGONAL,39,39,9.3462655419982970e-13,790779667,329095576,196608,8388608,5159250,NaN,true
1024,4096,MATRIX_FREE_BLOCK_BY_WAVEFUNCTION_COMPONENT,39,39,7.6625368236036690e-13,641419958,216893864,196608,8388608,5159250,NaN,true
