preconditioner,iterations,operator_applications,absolute_residual,relative_residual,max_update_error,rms_update_error,dense_predicted_decrease,matrix_free_predicted_decrease,decrease_error,wall_ns,cpu_ns,peak_heap_bytes,cumulative_streamed_passes,passes,dense_control_wall_ns,matrix_free_setup_wall_ns
NONE,37,37,3.6057594596800550e-15,3.1238128465017302e-12,7.7808159221204320e-13,3.9290783788233965e-13,-2.7609221278089530e-06,-2.7609221278082698e-06,6.8313207196059320e-19,9278660875,6645722000,235853224,40,false,495636875,1912214125
DIAGONAL,53,53,8.4865078590669900e-15,7.3521993268080230e-12,8.1816931701839120e-13,4.0791123524519595e-13,-2.7609221278089530e-06,-2.7609221278074524e-06,1.5005188660609930e-18,8457844333,7798615000,226703136,93,false,495636875,1912214125
BLOCK_BY_WAVEFUNCTION_COMPONENT,47,47,4.9449422907133240e-16,4.2840002018078657e-13,8.1555075193140420e-13,4.0854098257792700e-13,-2.7609221278089530e-06,-2.7609221278060580e-06,2.8947350972415714e-18,6659276208,6458270000,246737752,140,true,495636875,1912214125
