evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N1_PHASE0,PHI_N2_PHASE180,PSI_N1_PHASE0,equal_surface_profile_mse,regularization,objective
EVAL_00001,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,2.0,0.0,0.0,7.083948228692634,0.0,7.083948228692634
EVAL_00002,optimization,0.0,0.0,0.4731632226729102,1.5639179357337627,0.26169736590767545,0.0,2.0,0.0,0.0,7.08235568905121,1.600000000000003e-07,7.0823558490512095
EVAL_00003,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.002,2.0,0.0,0.0,7.087749150737724,1.6e-07,7.087749310737724
EVAL_00004,optimization,0.0,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,2.0,0.0,0.002,7.08395454128922,4e-08,7.08395458128922
EVAL_00005,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.0,6.765364681236551,0.007676635801270707,6.773041317037821
EVAL_00006,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.0,6.766084197043818,0.00760670267098811,6.773690899714806
EVAL_00007,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.0,6.770188249061701,0.007676795801270707,6.777865044862972
EVAL_00008,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.002,6.765332092491936,0.007676675801270707,6.773008768293207
EVAL_00009,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.006937803477833957,6.765267828924881,0.007677117132441678,6.772944946057323
EVAL_00010,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.006937803477833957,6.766054338594887,0.00760718400215908,6.773661522597046
EVAL_00011,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.006937803477833957,6.770113221033125,0.007677277132441678,6.777790498165567
EVAL_00012,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.008937803477833958,6.765264608272314,0.007677434644580791,6.7729420429168945
EVAL_00013,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.0076172100311735465,6.765199209339218,0.0076772160201572974,6.772876425359375
EVAL_00014,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.0076172100311735465,6.766066781526237,0.007607282889874699,6.773674064416111
EVAL_00015,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.0076172100311735465,6.770199790058982,0.007677376020157297,6.777877166079139
EVAL_00016,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617210031173547,6.765276159424951,0.007677560708558544,6.7729537201335095
