evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N2_PHASE180,equal_surface_profile_mse,regularization,objective
EVAL_00001,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,10.88169165112538,0.0,10.88169165112538
EVAL_00002,optimization,0.20660606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,10.88163572126031,1.600000000000003e-07,10.88163588126031
EVAL_00003,optimization,0.20460606269354412,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,10.895757875834116,1.6e-07,10.895758035834117
EVAL_00004,optimization,0.20460606269354412,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002,10.881592258806393,4e-08,10.881592298806392
EVAL_00005,optimization,0.23249099522812722,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04967615949347248,10.882379688526067,5.577998671853921e-05,10.882435468512785
EVAL_00006,optimization,0.23449099522812722,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04967615949347248,10.882550426231463,6.040157592407251e-05,10.882610827807387
EVAL_00007,optimization,0.23249099522812722,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.04967615949347248,10.897055341812342,5.5939986718539206e-05,10.897111281799061
EVAL_00008,optimization,0.23249099522812722,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.051676159493472484,10.882381998907839,5.780703309827811e-05,10.882439805940937
EVAL_00009,optimization,0.21341562553244775,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.015693968350484568,10.881786714682937,5.567342322363787e-06,10.881792282025259
EVAL_00010,optimization,0.21541562553244775,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.015693968350484568,10.881624260941797,7.13687237658837e-06,10.881631397814173
EVAL_00011,optimization,0.21341562553244775,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.015693968350484568,10.895888020434313,5.7273423223637865e-06,10.895893747776636
EVAL_00012,optimization,0.21341562553244775,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.01769396835048457,10.881661767112968,6.235101056383171e-06,10.881668002214024
EVAL_00013,optimization,0.20594504652111126,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023853589781833618,10.88153368122766,1.2861448216745385e-07,10.881533809842143
EVAL_00014,optimization,0.20794504652111126,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023853589781833618,10.881588550340098,5.028518945781969e-07,10.881589053191993
EVAL_00015,optimization,0.20594504652111126,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023853589781833618,10.895845221252012,2.8861448216745386e-07,10.895845509866493
EVAL_00016,optimization,0.20594504652111126,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.004385358978183361,10.881549179386502,2.640288412947883e-07,10.881549443415343
EVAL_00017,optimization,0.20548323047446174,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0018636084308455575,10.881534852734633,6.550729647038411e-08,10.881534918241929
EVAL_00018,optimization,0.20748323047446174,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0018636084308455575,10.881582701906128,3.658541414172038e-07,10.88158306776027
EVAL_00019,optimization,0.20548323047446174,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0018636084308455575,10.895926740654792,2.255072964703841e-07,10.895926966162088
EVAL_00020,optimization,0.20548323047446174,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0038636084308455573,10.881678849336383,1.800516337042064e-07,10.881679029388017
EVAL_00021,optimization,0.20589263838131006,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002326149308392521,10.881532042086098,1.2032078606336606e-07,10.881532162406884
EVAL_00022,optimization,0.20789263838131006,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002326149308392521,10.881587633549257,4.861728961059169e-07,10.881588119722153
EVAL_00023,optimization,0.20589263838131006,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002326149308392521,10.895932187313795,2.8032078606336606e-07,10.89593246763458
EVAL_00024,optimization,0.20589263838131006,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.004326149308392521,10.881640939689122,2.533667583990669e-07,10.88164119305588
EVAL_00025,optimization,0.20581883456285854,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002242767228120367,10.881534108311739,1.0913267267532357e-07,10.881534217444411
