axis,angle_degrees,source_candidate_state_identity,source_archive_member,qm_absolute_energy_hartree,qm_relative_energy_kcal_mol,mm_frozen_absolute_energy_kcal_mol,mm_frozen_relative_energy_kcal_mol,frozen_geometry_residual_kcal_mol,mm_relaxed_absolute_energy_kcal_mol,mm_relaxed_relative_energy_kcal_mol,relaxed_profile_residual_kcal_mol,target_angle_after_minimization_degrees,minimization_convergence_status,run_directory
CHI,45,3b720e68df21b2650818,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3b720e68df21b2650818/final.xyz,-1477.9437852591896,0.0,68.66518048724106,0.01846522823201724,-0.01846522823201724,52.63115226888201,0.0,0.0,45.51360918622238,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+045
CHI,60,3f92bc1cc9bd4228f7e4,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3f92bc1cc9bd4228f7e4/final.xyz,-1477.9432654507455,0.32618472333560894,69.02043713142096,0.37372187241192023,-0.04753714911851148,52.728212438393825,0.0970601695118134,0.22912455382379554,59.438505479678824,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+060
CHI,75,ddbefa49f13f20e384df,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/ddbefa49f13f20e384df/final.xyz,-1477.9421266364168,1.0408015037026501,69.56205137956337,0.9153361205543291,0.12546538314121847,53.18924802639249,0.558095757510479,0.4827057461921711,74.36317976689152,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+075
CHI,90,67dd42706d6c90c3b568,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/67dd42706d6c90c3b568/final.xyz,-1477.940562423563,2.0223598887749024,70.14907926355116,1.502364004542116,0.5199958842257075,53.89320989591197,1.2620576270299608,0.7603022617449415,89.34021941942446,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+090
CHI,105,67e5c570e20323b843f0,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/67e5c570e20323b843f0/final.xyz,-1477.9389279564416,3.0480034924252344,70.59194379553819,1.945228536529143,1.102774955882083,54.541865235622666,1.910712966740654,1.1372905256845804,104.38638873442808,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+105
CHI,120,e3e4f8139e8687d89679,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/e3e4f8139e8687d89679/final.xyz,-1477.9378294367405,3.7373350122694022,70.82297184382571,2.17625658481667,1.5610784274776819,54.882331742952886,2.2511794740708737,1.4861555381985285,119.4679316413167,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+120
CHI,135,0f6f231a99ae46e3824a,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/0f6f231a99ae46e3824a/final.xyz,-1477.9377247869083,3.8030037733710786,70.77022344940451,2.1235081903954693,1.6794955829305849,54.8248002556745,2.1936479867924916,1.609355786578587,135.55333809607245,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+135
CHI,150,9c092d7e3a6c2deb89a2,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/9c092d7e3a6c2deb89a2/final.xyz,-1477.9385377237527,3.292878201783699,70.35891864004746,1.712203381038421,1.580674820775016,54.43336739841857,1.802215129536556,1.490663072247143,150.61044931755924,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+150
CHI,165,627913490138c9fd14b4,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/627913490138c9fd14b4/final.xyz,-1477.939750845474,2.5316328285396272,69.74321500713582,1.0964997481267744,1.4351330803994244,53.92716836661063,1.296016097728618,1.2356167308110093,165.59544706280028,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/CHI/+165
PHI,-180,4a40d6e4c9e115d1a3b9,results/PHI/candidates/4a40d6e4c9e115d1a3b9/final.xyz,-1477.9241046089987,12.297421019351964,83.64897011267088,14.84626712290239,-2.5488461036108845,66.17542478815247,13.388430925986597,-1.0910099066346337,-179.36391380306853,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-180
PHI,-165,2c3c895f210789f5833d,results/PHI/candidates/2c3c895f210789f5833d/final.xyz,-1477.924551383645,12.017065696114134,83.94723582151096,15.144532831742467,-3.1274671356734274,65.71392309620545,12.926929234039576,-0.9098635379254425,-164.4532709130698,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-165
PHI,-150,08427ce4bdf6f6c9d08c,results/PHI/candidates/08427ce4bdf6f6c9d08c/final.xyz,-1477.924346949788,12.14534987811232,84.0828529406333,15.28014995086481,-3.134800072745506,65.63034961261019,12.843355750444317,-0.6980058723319971,-149.463826183048,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-150
PHI,-135,1e97524cf1d5e51c1360,results/PHI/candidates/1e97524cf1d5e51c1360/final.xyz,-1477.9244372711948,12.088672339648122,81.64438041113509,12.841677421366597,-0.7530050816831988,64.96055321985642,12.17355935769055,-0.08488701804242815,-135.02400517397473,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-135
PHI,-120,c493fb0d694458ebe2d9,results/PHI/candidates/c493fb0d694458ebe2d9/final.xyz,-1477.928712237524,9.406090467076242,79.02616383103555,10.223460841267055,-0.8173703741465346,62.56253978909485,9.775545926928977,-0.36945545985273576,-120.02453759865496,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-120
PHI,-105,04a362c18479f5cdda2e,results/PHI/candidates/04a362c18479f5cdda2e/final.xyz,-1477.9351127595178,5.389702277432289,75.27856049836505,6.475857508596562,-1.0861552312221079,58.821635521315585,6.034641659149713,-0.6449393817174238,-104.99761419755112,CONVERGED,03_PREFIT_BASELINE/relaxed-runs/PHI/-105
