axis,angle_degrees,candidate_id,source_archive_member,qm_energy_hartree,target_angle_after_minimization_degrees,final_restraint_center_degrees,restraint_center_correction_history,target_angle_error_degrees,target_angle_pass,minimization_converged,minimization_steps,final_rms_kcal_mol_angstrom,final_gmax_kcal_mol_angstrom,restart_readback_pass,aligned_cartesian_rmsd_angstrom,aligned_max_atom_displacement_angstrom,mm_bond_kcal_mol_absolute,mm_angle_kcal_mol_absolute,mm_dihedral_kcal_mol_absolute,mm_imp_kcal_mol_absolute,mm_elec_kcal_mol_absolute,mm_vdw_kcal_mol_absolute,mm_elec_14_kcal_mol_absolute,mm_vdw_14_kcal_mol_absolute,mm_tot_kcal_mol_absolute,mm_other_kcal_mol_absolute,input_rst7_sha256,final_rst7_sha256,mdout_sha256,restraint_sha256,run_directory,qm_relative_kcal_mol,mm_relative_kcal_mol,relaxed_profile_residual_kcal_mol
CHI,-30,d91d2228afc45675bb8f,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d91d2228afc45675bb8f/final.xyz,-1477.9408001543177,-30.564860334127346,-30.0,"[{'attempt': 1, 'restraint_center_degrees': -30.0, 'actual_degrees': -30.564860334127346, 'target_error_degrees': 0.5648603341273315, 'steps': 5121, 'rms': 0.00099713}]",0.5648603341273315,True,True,5121,0.00099713,0.0047594,True,0.16423711916794959,0.7317377392819142,3.7465028828573534,12.432824573743584,66.92139361540826,0.0,-47.78468176652008,-4.8889027398181275,11.88044117697337,10.841228015155467,53.14880575779983,0.0,575f93b785b0c6a660e474eec6b3624c36dae636935ccd6bd3b5d06e5dfaff87,1782a25e9d138eb0fbe02a30a0458c6f3686c8daf178f327213f4a17c9b18b78,cc6040b0946682162d85777dbf9ca8c6912911c42edcdb956ab0d6c4ef5dca28,4f21f149ee325dcdb3de85625f4c2300f7bc529fe1ab3e53753e9324a97c2426,03_PREFIT_BASELINE/relaxed-runs/CHI/-030,1.8731815879809242,0.5176534889178157,1.3555280990631084
CHI,-15,78ce1b628974546ce51d,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/78ce1b628974546ce51d/final.xyz,-1477.9407844319912,-15.53709437700943,-15.0,"[{'attempt': 1, 'restraint_center_degrees': -15.0, 'actual_degrees': -15.53709437700943, 'target_error_degrees': 0.5370943770094243, 'steps': 5203, 'rms': 0.00099892}]",0.5370943770094243,True,True,5203,0.00099892,0.0050681,True,0.16391608232640348,0.7333803246190367,3.7449944307557614,12.440537688446051,67.38704283438929,0.0,-47.746627150940874,-4.920108419422752,11.644213362309788,10.85374531237371,53.403798057910976,0.0,ef3c5a7c97c66eb83bb75b09b2cc4f6ee9b24623400cb7011f713f5b1f8051fa,88c9b46d81ab89c47086d0f2ce4f258419f917040a6583939244ae1ff438badf,b48fe13862251b3182899c7b5f045f309d2e7e697eae41a765f5b57eae34f599,8e051c1fa86de51c07c8292f80e4aed52764ea2e2d193ae395f2f052487cda74,03_PREFIT_BASELINE/relaxed-runs/CHI/-015,1.8830474967830666,0.7726457890289637,1.1104017077541029
CHI,0,6d139c9f39a07b6a37ba,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/6d139c9f39a07b6a37ba/final.xyz,-1477.9413349083907,0.5296736144224939,0.0,"[{'attempt': 1, 'restraint_center_degrees': 0.0, 'actual_degrees': 0.5296736144224939, 'target_error_degrees': 0.5296736144225065, 'steps': 5318, 'rms': 0.00098868}]",0.5296736144225065,True,True,5318,0.00098868,0.0053095,True,0.16527975665040154,0.7405722068240891,3.738615198212004,12.449093613913597,67.61800292811391,0.0,-47.811823343231076,-4.959500984780775,11.513360281497736,10.877755764865121,53.42550345859051,-7.105427357601002e-15,c7607f1c45f8f699448fcd3a3a78d8127209285c02dec17bdf3508810873e5e0,0d52100bf3f33e8830f7517ca8c3090fdd12f1c75a6cf2dff20372a42a13f1a8,ef4c0178b341ae62a2651cc36df5d48bd6e312a709e657daf87b6b7cb3e19d24,f1c5e5f0def9c2a0c6ccddb536f3bc44ef1805c8329bcf9ee61e7aa774a734f5,03_PREFIT_BASELINE/relaxed-runs/CHI/+000,1.53761834092137,0.7943511897085003,0.7432671512128697
CHI,15,a931964e5b4679e1db1a,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/a931964e5b4679e1db1a/final.xyz,-1477.9424306894537,15.573367509154606,15.0,"[{'attempt': 1, 'restraint_center_degrees': 15.0, 'actual_degrees': 15.573367509154606, 'target_error_degrees': 0.5733675091545933, 'steps': 5515, 'rms': 0.00099649}]",0.5733675091545933,True,True,5515,0.00099649,0.0054529,True,0.1659553983471345,0.7427660005929488,3.7302641946143793,12.464671550431405,67.44458092039567,0.0,-47.906993692458094,-4.993363657020706,11.543074272870498,10.890508233255463,53.17274182208861,0.0,848df0bdbabd6a89d097b33b6244ada4569238a5a4f0f10ae6725f25a02e06f1,6144f7e21416ee6a41a7d9e429afd08983ab1029abf4ed2193fda2cdea3624e8,090f796b9f7ea153dea933b5af61dd712678a72dd333ec0454a0b445de9505d8,6e0e7cb03cccdc1973d62db6450828f9160031591ba3ebea6d87c413a8ee50a2,03_PREFIT_BASELINE/relaxed-runs/CHI/+015,0.8500053424677801,0.5415895532065989,0.3084157892611813
CHI,30,d6d25499326fe479409f,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/d6d25499326fe479409f/final.xyz,-1477.9434698591697,30.567219603854454,30.0,"[{'attempt': 1, 'restraint_center_degrees': 30.0, 'actual_degrees': 30.567219603854454, 'target_error_degrees': 0.5672196038544541, 'steps': 5390, 'rms': 0.00099462}]",0.5672196038544541,True,True,5390,0.00099462,0.0054006,True,0.16508627868558978,0.7407476306272025,3.7230701003613125,12.484040670528156,67.00374186583612,0.0,-47.96214957305487,-5.0175832365347315,11.719043789841592,10.880704375784417,52.830867992761995,0.0,8c50a821c4ac0e7207a6fac9cf588ba681c31ba3ab9cc9c68fbebda1e31db74d,416bbe1f5e54cf49942cb94f765e68d17167445f3db26c796d79d9d02a0d65a9,5f35d841063c8a1e21fb35059efda6a95e4258e4d1e304db7c78bd39b98bd28e,21a42c32e4905bc2bf78ce7ecf7aab9ea27961189a8ca1fe9dcd500ef77581b0,03_PREFIT_BASELINE/relaxed-runs/CHI/+030,0.1979165005694423,0.19971572387998293,-0.0017992233105406374
CHI,45,3b720e68df21b2650818,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3b720e68df21b2650818/final.xyz,-1477.9437852591896,45.51360918622238,45.0,"[{'attempt': 1, 'restraint_center_degrees': 45.0, 'actual_degrees': 45.51360918622238, 'target_error_degrees': 0.513609186222368, 'steps': 4795, 'rms': 0.00099864}]",0.513609186222368,True,True,4795,0.00099864,0.0051217,True,0.16476130156867766,0.73442710237472,3.7196241792975484,12.505739929673481,66.55759588840263,0.0,-47.969318640315784,-5.034750785226408,11.997386039481022,10.854875657569522,52.63115226888201,0.0,8d2b1893a0dcb1e9e44aab19c8f768542ef1ba39d48627fe9345c0c1aec62beb,551d9ccd3f202960bca413379607c3a99890f14cdb813ae82fade4397dfeeb30,2bc0b7ce105229b638e396a70ab4d5d560ccadf581d4f461f0eaa7671d56c153,41aa0e54a81df81f77e8bb587cb7d1f38b6ee52e93b31bfc9cf6217962e46ca9,03_PREFIT_BASELINE/relaxed-runs/CHI/+045,0.0,0.0,0.0
CHI,60,3f92bc1cc9bd4228f7e4,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/3f92bc1cc9bd4228f7e4/final.xyz,-1477.9432654507455,59.438505479678824,60.0,"[{'attempt': 1, 'restraint_center_degrees': 60.0, 'actual_degrees': 59.438505479678824, 'target_error_degrees': 0.5614945203211619, 'steps': 4718, 'rms': 0.00099604}]",0.5614945203211619,True,True,4718,0.00099604,0.0044325,True,0.1663220072051891,0.7291023492153881,3.7199475084372824,12.534328934263506,66.36152683478207,0.0,-47.9699891371181,-5.045587528535549,12.30258028968176,10.825405536882856,52.728212438393825,0.0,744227d93415886821e2d17e495af560d1c67db19dbe93bcb7c50cfb8a02569b,aed069828ca101981e8a38d265f32d24f735fb89a93b3856063a12ade7ad905c,fea293a820adf3bdce91d6cdfdf24ee4773d1c49807b5b563fc6f295b144f327,e5de6ca295335dd931ad81b0a914f353cb1457ca9f25b0486357f3590bff6a41,03_PREFIT_BASELINE/relaxed-runs/CHI/+060,0.32618472333560894,0.0970601695118134,0.22912455382379554
CHI,75,ddbefa49f13f20e384df,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/ddbefa49f13f20e384df/final.xyz,-1477.9421266364168,74.36317976689152,75.0,"[{'attempt': 1, 'restraint_center_degrees': 75.0, 'actual_degrees': 74.36317976689152, 'target_error_degrees': 0.6368202331084944, 'steps': 4694, 'rms': 0.00099596}]",0.6368202331084944,True,True,4694,0.00099596,0.0043782,True,0.16825355593122335,0.7332903942437488,3.72231420397681,12.580938901236948,66.50287856479966,0.0,-48.000759035426384,-5.0490077607177035,12.640191563185038,10.79269158933812,53.18924802639249,7.105427357601002e-15,35f1d45e1f1564371eec35005e574b078f994da7734bdabd44e93bb63e7bb0a0,ea58ae900c00b0ec024d76931550cd5496e6bfa7cb96fb17d88fbe383d86efa9,c15b4147257bd1afc51460e221d3bbfd43ac88686a52a12213138946e45c190e,38481da7c33d3f8c36b8521dcde6deba55f3aa153930a0c7cd8ba2a8554ffa67,03_PREFIT_BASELINE/relaxed-runs/CHI/+075,1.0408015037026501,0.558095757510479,0.4827057461921711
CHI,90,67dd42706d6c90c3b568,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/67dd42706d6c90c3b568/final.xyz,-1477.940562423563,89.34021941942446,90.0,"[{'attempt': 1, 'restraint_center_degrees': 90.0, 'actual_degrees': 89.34021941942446, 'target_error_degrees': 0.659780580575557, 'steps': 4776, 'rms': 0.00099373}]",0.659780580575557,True,True,4776,0.00099373,0.0048549,True,0.17006086210487392,0.7459451996936595,3.723549514380955,12.617850980818096,66.9372970156051,0.0,-48.07309515853169,-5.0442427597348365,12.96248433211214,10.76936597126221,53.89320989591197,7.105427357601002e-15,ac7b1840685625cd756fbff42b9347259c7a039393abdc22af3044b3752827b6,5a1825a91aa8514a2349ca0887f3355427914081d250164dc1a835e84b41d5c6,9b5cf54a85555176d65cf2c8d2b4849c20e7f5463adcec4436ef1fb4aa3e1e0b,57d1b42e439404ffe882db24e01a3cd7005ea83d05ad0a8fc7b05dca8f53c223,03_PREFIT_BASELINE/relaxed-runs/CHI/+090,2.0223598887749024,1.2620576270299608,0.7603022617449415
CHI,105,67e5c570e20323b843f0,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/67e5c570e20323b843f0/final.xyz,-1477.9389279564416,104.38638873442808,105.0,"[{'attempt': 1, 'restraint_center_degrees': 105.0, 'actual_degrees': 104.38638873442808, 'target_error_degrees': 0.613611265571933, 'steps': 4949, 'rms': 0.00099483}]",0.613611265571933,True,True,4949,0.00099483,0.0053,True,0.17424694354972214,0.766033348656678,3.721990922256456,12.591526416253519,67.42160435223764,0.0,-48.176715327796536,-5.042149601439778,13.251618008869258,10.773990465242125,54.541865235622666,-1.4210854715202004e-14,fe13c0d0c398a4286bec2a08a7be4c86fc2d9b88c401c3a2113b76365a845c0b,36246d8fd59bf6397754b35ff58bb109d7c7a0dd6921381444280dec3fd9d2d8,0e993e2ab90cfd46ddb1b805f219e2afaa979ae24531cfe713cd128dec62da4b,3296991fddd388129d25588dc5e5f775c2bce5ee72039b572b07e5c99d043e56,03_PREFIT_BASELINE/relaxed-runs/CHI/+105,3.0480034924252344,1.910712966740654,1.1372905256845804
