axis,angle_degrees,qm_relative_kcal_mol,mm_relative_kcal_mol,residual_kcal_mol,target_angle_degrees,converged,target_pass
CHI,-180,1.8361875979134048,0.7192261886102074,1.1169614093031974,-179.45229817572456,True,True
CHI,-165,1.4130028718141248,0.848289642242591,0.5647132295715338,-165.60419000314528,True,True
CHI,-150,1.3982414847839755,1.5800531866521084,-0.1818117018681329,-150.7018452033948,True,True
CHI,-135,1.7201805587324959,2.5066188025151916,-0.7864382437826958,-135.6815008481745,True,True
CHI,-120,2.1004462123625456,3.065408748378019,-0.9649625360154732,-120.54655188452955,True,True
CHI,-105,2.282405294363951,2.845345997273327,-0.5629407029093763,-104.36964474659118,True,True
CHI,-90,2.191846518770847,2.0059769198475124,0.18586959892333477,-89.28439544574609,True,True
CHI,-75,1.9493375527533943,1.0649793733195878,0.8843581794338065,-74.32197679044225,True,True
CHI,-60,1.7582771045303314,0.5238211996287987,1.2344559049015327,-59.44812757953594,True,True
CHI,-45,1.7517423921353694,0.5906085723045322,1.1611338198308372,-45.5796518406315,True,True
CHI,-30,1.8731815879809242,1.169495776572802,0.7036858114081221,-30.65904355922926,True,True
CHI,-15,1.8830474967830666,1.864921700720103,0.018125796062963495,-15.624788575404294,True,True
CHI,0,1.53761834092137,2.1604182555996516,-0.6227999146782817,0.5148328901346901,True,True
CHI,15,0.8500053424677801,1.7654063119950365,-0.9154009695272564,15.647723913542768,True,True
CHI,30,0.1979165005694423,0.9459354775252962,-0.7480189769558538,30.690428175006833,True,True
CHI,45,0.0,0.20850870597401183,-0.20850870597401183,45.61590071928263,True,True
CHI,60,0.32618472333560894,0.0,0.32618472333560894,59.47625603206893,True,True
CHI,75,1.0408015037026501,0.4662670756020191,0.574534428100631,74.32387431144197,True,True
CHI,90,2.0223598887749024,1.538846023913237,0.48351386486166525,89.99941592656872,True,True
CHI,105,3.0480034924252344,2.58144804628121,0.46655544614402444,104.29234504662799,True,True
CHI,120,3.7373350122694022,3.2450137778019155,0.49232123446748677,119.42886200344472,True,True
CHI,135,3.8030037733710786,3.1715383951781178,0.6314653781929609,135.60266069459792,True,True
CHI,150,3.292878201783699,2.3639985628204983,0.9288796389632008,150.73111713406735,True,True
CHI,165,2.5316328285396272,1.3055779305713884,1.2260548979682389,165.70183480912314,True,True
PHI,-180,12.297421019351964,21.99013988800249,-9.692718868650525,-179.9484927408328,True,True
PHI,-165,12.017065696114134,23.412911490182253,-11.39584579406812,-165.15770273399278,True,True
PHI,-150,12.14534987811232,18.683816729379004,-6.5384668512666835,-150.0331611738788,True,True
PHI,-135,12.088672339648122,12.148860702920416,-0.060188363272294154,-134.9833311278524,True,True
PHI,-120,9.406090467076242,6.100138834853979,3.3059516322222624,-119.95848531496146,True,True
PHI,-105,5.389702277432289,1.7739558484245208,3.6157464290077685,-104.95777918638852,True,True
PHI,-90,1.8840517384563273,0.0,1.8840517384563273,-89.45124732142136,True,True
PHI,-75,0.0,1.181121117820922,-1.181121117820922,-75.04598578406369,True,True
PHI,-60,1.1679589391511374,5.49196464300492,-4.324005703853782,-60.07964136530755,True,True
PHI,-45,5.348395421266241,12.736885695909194,-7.388490274642954,-45.08931546207681,True,True
PHI,-30,12.61886348886727,22.626131361940224,-10.007267873072955,-30.108207126140563,True,True
PHI,-15,24.120153734931876,35.31202442277592,-11.191870687844045,-15.17530698055328,True,True
PHI,0,39.62646469177788,51.674613497756155,-12.048148805978272,-0.2603910619368824,True,True
PHI,105,36.46525443667219,41.86485177178379,-5.399597335111601,104.99684894223262,True,True
PHI,120,25.91194918747669,31.247173851352244,-5.335224663875554,120.05964583491249,True,True
PHI,135,18.085910819557824,22.082492565362003,-3.9965817458041784,135.1228320124248,True,True
PHI,150,13.569233322541978,17.144809889627,-3.5755765670850206,150.07275410730406,True,True
PHI,165,12.21349737743903,17.939562615210647,-5.726065237771618,164.9347764504343,True,True
PSI,-105,32.011747071349355,44.1694096154727,-12.157662544123347,-104.27877593445133,True,True
PSI,-90,14.696882575166297,22.85225993165139,-8.155377356485092,-89.58258786703328,True,True
PSI,-75,4.330868332829533,9.666832015978144,-5.335963683148611,-74.79650886007191,True,True
PSI,-60,0.0,2.6295952106072065,-2.6295952106072065,-59.91397740030726,True,True
PSI,-45,0.19638589416353,0.0,0.19638589416353,-44.33258491616227,True,True
PSI,-30,3.0779934750218234,0.39498708225693235,2.683006392764891,-30.018303589675746,True,True
PSI,-15,6.97513939178259,2.429221756902919,4.545917634879671,-15.01589866925745,True,True
PSI,0,10.412722960962697,5.582022339582636,4.8307006213800605,-0.023934761271753053,True,True
PSI,15,11.945479233545104,10.032095837519947,1.9133833960251572,14.963916214236727,True,True
PSI,30,11.696853683615846,16.055328220635644,-4.358474537019799,29.95101431305166,True,True
PSI,45,12.409782605194598,16.693065093208034,-4.283282488013436,44.47999267610525,True,True
PSI,60,15.683428081132595,20.058186514652206,-4.374758433519611,59.82017946430081,True,True
PSI,75,23.207234060776265,30.665274562495682,-7.458040501719417,74.65758889441547,True,True
PSI,90,36.77978373595889,48.85457469849783,-12.074790962538941,89.5388498536466,True,True
