compound_id,smiles,status,failure_category,failure_detail,our_heavy,meeko_heavy,matched_heavy,atoms_match,our_total_charge,meeko_total_charge,total_charge_delta,charge_mad,type_agreement,torsdof_ours,torsdof_meeko,torsdof_delta,rotors_ours,rotors_meeko,rotors_matched,max_coord_delta
02584296-e359-47b0-9193-5519998be28a,O=C([C@@H]1CCCSC1)N1CCC[C@H](Cc2nn[nH]n2)C1,OK,,,20,20,20,true,-0.0003,-0.0000,0.0003,0.0363,1.0000,3,4,1,3,4,2,0.0010
035171a9-e929-4b4b-a059-108342e2e8a4,CCOCN(C)C(=O)N1C[C@H]2CN(c3ccncc3F)C[C@H]2[C@@H]1c1ccc(OC)cc1,OK,,,31,31,31,true,0.0004,0.0020,0.0016,0.0522,1.0000,6,8,2,6,8,6,0.0010
035171a9-e929-4b4b-a059-108342e2e8a4,CCOCN(C)C(=O)N1C[C@H]2CN(c3ccncc3F)C[C@H]2[C@@H]1c1ccc(OC)cc1,OK,,,31,31,31,true,0.0004,0.0020,0.0016,0.0522,1.0000,6,8,2,6,8,3,0.0010
0387dd50-9159-44fc-aeef-a4e8f3fbc261,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,OK,,,29,29,29,true,-0.0003,0.0010,0.0013,0.0348,1.0000,5,6,1,5,6,4,0.0010
0387dd50-9159-44fc-aeef-a4e8f3fbc261,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,OK,,,29,29,29,true,-0.0003,0.0010,0.0013,0.0348,1.0000,5,6,1,5,6,4,0.0010
0387dd50-9159-44fc-aeef-a4e8f3fbc261,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,OK,,,29,29,29,true,-0.0003,0.0010,0.0013,0.0348,1.0000,5,6,1,5,6,4,0.0010
03b6e0fc-f0ce-42ca-b0a9-cd04ad4921db,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1C(F)(F)F,OK,,,45,45,45,true,-0.0001,-0.0010,0.0009,0.0287,1.0000,9,10,1,9,10,3,0.0010
03b6e0fc-f0ce-42ca-b0a9-cd04ad4921db,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1C(F)(F)F,OK,,,45,45,45,true,-0.0001,-0.0010,0.0009,0.0287,1.0000,9,10,1,9,10,3,0.0010
03b6e0fc-f0ce-42ca-b0a9-cd04ad4921db,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1C(F)(F)F,OK,,,45,45,45,true,-0.0001,-0.0010,0.0009,0.0287,1.0000,9,10,1,9,10,3,0.0010
03b6e0fc-f0ce-42ca-b0a9-cd04ad4921db,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1C(F)(F)F,OK,,,45,45,45,true,-0.0001,-0.0010,0.0009,0.0287,1.0000,9,10,1,9,10,3,0.0010
03de46d0-345a-4db5-8411-51e33c63cb7a,CC(c1ccc2c(c1)OCO2)n1c(=O)c2oc3ccccc3c2n(CC(=O)Nc2ccccc2C(F)(F)F)c1=O,OK,,,40,40,40,true,0.0001,0.0020,0.0019,0.0303,1.0000,6,6,0,6,6,5,0.0010
03de46d0-345a-4db5-8411-51e33c63cb7a,CC(c1ccc2c(c1)OCO2)n1c(=O)c2oc3ccccc3c2n(CC(=O)Nc2ccccc2C(F)(F)F)c1=O,OK,,,40,40,40,true,0.0001,0.0020,0.0019,0.0303,1.0000,6,6,0,6,6,4,0.0010
03dec65e-0af6-4682-88a3-d6ad360ccce4,Cc1cc(C[C@@H]2CN(c3ccncc3F)C[C@@H]2O)n[nH]1,OK,,,20,20,20,true,-0.0002,-0.0010,0.0008,0.0385,1.0000,3,4,1,3,4,3,0.0010
03dec65e-0af6-4682-88a3-d6ad360ccce4,Cc1cc(C[C@@H]2CN(c3ccncc3F)C[C@@H]2O)n[nH]1,OK,,,20,20,20,true,-0.0002,-0.0010,0.0008,0.0385,1.0000,3,4,1,3,4,3,0.0010
03dec65e-0af6-4682-88a3-d6ad360ccce4,Cc1cc(C[C@@H]2CN(c3ccncc3F)C[C@@H]2O)n[nH]1,OK,,,20,20,20,true,-0.0002,-0.0010,0.0008,0.0385,1.0000,3,4,1,3,4,3,0.0010
03dec65e-0af6-4682-88a3-d6ad360ccce4,Cc1cc(C[C@@H]2CN(c3ccncc3F)C[C@@H]2O)n[nH]1,OK,,,20,20,20,true,-0.0002,-0.0010,0.0008,0.0385,1.0000,3,4,1,3,4,3,0.0010
0404902a-34be-4cfe-b594-c78ee4008346,C=C(C#N)C(=O)NCCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,OK,,,38,38,38,true,-0.0003,0.0020,0.0023,0.0370,1.0000,10,11,1,10,11,5,0.0010
0404902a-34be-4cfe-b594-c78ee4008346,C=C(C#N)C(=O)NCCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,OK,,,38,38,38,true,-0.0003,0.0020,0.0023,0.0370,1.0000,10,11,1,10,11,5,0.0010
0404902a-34be-4cfe-b594-c78ee4008346,C=C(C#N)C(=O)NCCCc1ccccc1[C@H]1[C@H](NC(=O)c2ccc(F)cc2)[C@](C)(O)CCN1S(C)(=O)=O,OK,,,38,38,38,true,-0.0003,0.0020,0.0023,0.0370,1.0000,10,11,1,10,11,5,0.0010
