artifact_id,minimum,role,domain,qm_energy,predicted_energy,energy_error,global_force_rms,sulfur_local_force_rms,baseline_global_force_rms,baseline_sulfur_local_force_rms,S_C,S_H,ANGLE_9_10_26,ANGLE_11_10_26,ANGLE_10_26_56,CHI_SHSC,PHI_SC,PSI_BACKBONE,partition
TSLRSH-GPU-004,MIN01,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927412.3482120022,-927414.0771806529,-1.728968650684692,10.522236578546114,9.14996744050619,10.69249052391623,10.440552719388728,-2.27970371311871,-0.6596502755896306,7.909725134995613,4.618968880545808,3.419895712007467,1.0970527756480908,8.258253671501851,4.167650395925687,TRAIN
TSLRSH-GPU-006,MIN01,REPULSIVE_STABILITY,STABILITY_GUARD,-927394.7071113738,-927390.8652934842,3.8418178895954043,11.47758440872002,10.949708591859,11.610530581050458,11.890435393463763,-24.19074937126202,1.509522040845133,0.017058088294618124,17.451353537106193,17.59973559627866,10.309735155929664,3.6027032514695114,-3.8476522107872384,TRAIN
TSLRSH-GPU-007,MIN01,LOW_ENERGY_CONFORMER,CORE_EQUILIBRIUM,-927413.4193733858,-927415.270072115,-1.8506987291621044,9.404758369029864,8.811853322152563,9.511346947106158,9.579271598083526,-13.642128991083515,0.7513925507734222,3.4198993920442877,6.50861693939581,8.012491227042215,-4.091864117924717,5.090053541061194,7.4420796158221965,TRAIN
TSLRSH-GPU-008,MIN01,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927396.7404215627,-927393.5507725781,3.1896489845821634,10.722224114334157,12.928966753472556,10.61461342572317,12.291691455985003,8.544600563597543,6.774616773867094,9.475015232636043,-29.25904873486477,-16.339913057018517,-22.381218056447597,34.536433528799634,-7.515960508476083,TRAIN
TSLRSH-GPU-010,MIN01,SULFUR_ORIENTATION,EXTENDED_BOUND_DOMAIN,-927422.093994593,-927423.0174282348,-0.9234336417866871,9.788293771112405,8.963567971545547,9.836891758213591,9.328545565789188,-10.891419230914032,2.43730733741172,3.114287621205335,16.300957349915716,3.158000167406614,15.188515084337519,-5.024609594490525,7.260707760911388,TRAIN
TSLRSH-GPU-013,MIN01,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927400.5965920199,-927404.3621361589,-3.765544138965197,10.332573199903443,12.844114105877315,10.037209374872036,11.084033060686432,-0.9072086005164809,-9.962144644076648,-2.553975936266274,-25.47519617733472,33.97740528620462,-22.25710585797667,29.735440777635763,-0.2849412300760401,TRAIN
TSLRSH-GPU-014,MIN01,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927419.7051212147,-927419.0998156535,0.6053055612137541,9.512940057223812,8.4930190911614,9.663845140400216,9.611893353546769,-9.193055842882623,0.05632764442415373,8.181113799945871,4.216309405973822,8.530079080909577,0.16601127680955974,9.399528644648289,2.130056599645597,TRAIN
TSLRSH-GPU-015,MIN01,S_H_LOCAL_DISTORTION,EXTENDED_BOUND_DOMAIN,-927421.5375971171,-927420.773645635,0.7639514821348712,9.515926698002778,8.503385825772913,9.691590879978518,9.794186058259308,-2.981410319316772,1.085813128771066,8.889427621450144,5.75105572368496,-1.149405872333174,9.25674540501694,-0.23039772760549443,5.095562329417429,TRAIN
TSLRSH-GPU-016,MIN01,S_H_LOCAL_DISTORTION,EXTENDED_BOUND_DOMAIN,-927422.4841417581,-927420.1318254885,2.35231626953464,9.484765476289803,8.208142774646065,9.650984869441972,9.46777362841058,-5.087697465125124,0.08024216455135191,3.6107122304011114,7.966565126886437,2.8977749538436224,9.65080646924691,-2.1829614106162167,8.301600241158605,TRAIN
TSLRSH-GPU-017,MIN01,REPULSIVE_STABILITY,STABILITY_GUARD,-927410.7021165593,-927412.7124137935,-2.010297234286554,10.258419913301333,9.551254141647462,10.266749666351624,9.613700787716178,-2.6888311487705687,1.9816247293876046,2.3596942438341735,9.659716705746277,0.9360193931781046,13.808360109508511,-7.389559487702692,15.168777895165972,TRAIN
TSLRSH-GPU-018,MIN01,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927410.7492556329,-927415.8539166024,-5.104660969576798,9.704436767534784,9.881754983936858,9.690275750794166,9.783994052635181,-5.522644712623372,0.46798748646440114,6.003647490669814,-14.342813152348057,20.459972424813476,-14.356168335518833,25.92071514484714,-8.968328719125836,TRAIN
TSLRSH-GPU-020,MIN01,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927421.4939855833,-927422.564101933,-1.070116349728778,9.594266951276115,8.687602350146113,9.731810970920598,9.699574201166476,-11.13881802958698,-0.709063255269051,7.333579131185804,4.737411623384915,12.293725843457452,0.9029431904092874,10.219533390404195,-0.7566461843028516,TRAIN
TSLRSH-GPU-026,MIN02,REPULSIVE_STABILITY,STABILITY_GUARD,-927312.1212976318,-927300.0648611104,12.056436521350406,18.478617311250716,14.167994222201324,18.55343005405685,14.836621701930904,-34.531013557824934,-0.4212650142498241,-0.6776550073523817,12.792034267387676,16.350422980243447,2.520239714481822,5.48620451987052,-13.530586310946465,TRAIN
TSLRSH-GPU-027,MIN02,REPULSIVE_STABILITY,STABILITY_GUARD,-927345.2360210209,-927350.8874502913,-5.651429270394146,16.111897953512823,12.315456344159589,15.913102865542607,10.349182333856529,15.400552607785803,6.760994175169289,11.622636052694082,-19.896704076091915,-26.151564727656815,-5.883460555600631,4.909799900866741,26.68952559299003,TRAIN
TSLRSH-GPU-028,MIN02,REPULSIVE_STABILITY,STABILITY_GUARD,-927371.2753341215,-927369.1662325879,2.10910153365694,12.601580186433303,11.536582170583513,12.806255693050957,13.019034524244388,-3.1918315934703343,5.1864682400984625,16.97897316986,-6.187407954560229,-13.507994847376667,-2.410493925415879,13.692822825180544,-5.246936029878855,TRAIN
TSLRSH-GPU-029,MIN02,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927418.9577162348,-927417.5309590381,1.4267571967793629,9.630709465028895,9.267332433638803,9.721501241878993,9.908713418399861,-3.695332795551303,5.689827589075631,7.475325457828329,0.8214389956488845,-10.829756718388069,-2.732493158422719,2.9750247939272594,14.187845785055519,TRAIN
TSLRSH-GPU-030,MIN02,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927411.7397289391,-927413.581411342,-1.841682402882725,10.590659439493741,9.757489533644138,10.723302841917382,10.72374455738869,1.1532825793083663,3.6505891232493957,5.928312502729347,2.2996878476556777,-11.162139460477531,-1.8042276820775984,1.6150886493935155,15.641022124789101,TRAIN
TSLRSH-GPU-031,MIN02,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927401.6871544289,-927398.2023054024,3.4848490265430883,10.598795755967464,12.721733660502117,10.805532385033016,13.885889163454255,11.05282448873149,-2.279260028231215,10.859690276763995,-19.468550372881612,-12.370406546561263,-12.593530083669183,26.959094143194967,-5.644265436810678,TRAIN
TSLRSH-GPU-033,MIN02,S_H_LOCAL_DISTORTION,EXTENDED_BOUND_DOMAIN,-927405.4531045142,-927409.1911478337,-3.738043319550343,10.20966460623446,8.53053973145578,10.424029920748602,10.184897988100017,-4.089972227587124,4.157231621398001,8.4489585020865,2.166052135410923,-7.322558371575002,0.7699403082201504,3.7356433282037194,6.440596988149873,TRAIN
TSLRSH-GPU-034,MIN02,S_H_LOCAL_DISTORTION,EXTENDED_BOUND_DOMAIN,-927420.6761521456,-927418.960059371,1.716092774644494,9.603983723195064,8.2278844294175,9.790373496905119,9.643777846798217,-4.60301061130101,2.7897308462478354,6.289551637003245,7.005795557379598,-4.765863414481116,3.110591412503986,-0.6901296051518037,8.916784998306412,TRAIN
TSLRSH-GPU-035,MIN02,SULFUR_ORIENTATION,EXTENDED_BOUND_DOMAIN,-927418.4943151327,-927417.5055170438,0.988798088976182,9.587920612609384,8.478033412558998,9.972816072095263,11.161492807123,-10.099458348099978,-2.8133908263678986,10.131848043539334,-2.182013737913798,-2.964773165236539,-2.614440923158203,4.7029207645604725,5.708238618501687,TRAIN
TSLRSH-GPU-036,MIN02,S_H_LOCAL_DISTORTION,EXTENDED_BOUND_DOMAIN,-927415.8153214507,-927419.6096502255,-3.794328774791211,9.744875764116475,10.06873107626347,9.566629751255043,8.791129248444028,-13.45761618818055,-4.0604749939671985,-1.67845678772461,28.798658574220603,11.784608257148077,12.911808706107362,-17.221594894143983,16.42139560413882,TRAIN
TSLRSH-GPU-037,MIN02,S_H_LOCAL_DISTORTION,EXTENDED_BOUND_DOMAIN,-927418.0929069057,-927418.0757774644,0.017129441257566214,9.627341057945932,9.080958560561927,9.78023559818932,10.160462388552482,-7.012124443316363,-0.026812574636590748,-2.3465359792795333,4.804326325406019,1.0212726228395068,-2.006635393853672,-1.7108665758628487,15.393127969164562,TRAIN
TSLRSH-GPU-038,MIN02,S_H_LOCAL_DISTORTION,EXTENDED_BOUND_DOMAIN,-927414.5474864775,-927418.4063465119,-3.858860034379177,9.849884233613198,10.654008692565531,9.613101058913845,9.01378661243,-4.390338969280705,-3.024822196022755,-7.415004976546925,31.340426219652226,10.21939900232436,18.042088376990144,-22.55561949714029,20.311836691400256,TRAIN
