condition,enantiomer,family,population,status,representative_source,representative_model,representative_source_sha256,superpocket_atom_fraction,sam_compatibility,sam_min_distance_A,engine_score_min,engine_score_mean,engine_score_max,scientific_score_interpretation
7B_WT_SAM_BOUND,R,7,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,6,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,1.0,compatible,3.324600878301033,-4.488,-4.477,-4.466,NONE
7B_WT_SAM_BOUND,R,8,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s7.pdbqt,8,c9cbe527df815e8a50dab21e0f3eecbf63f6ea949a7113dbab0043b130b8e253,1.0,compatible,3.611551744056839,-4.288,-4.288,-4.288,NONE
7B_WT_SAM_BOUND,R,9,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_R_s42.pdbqt,7,212bd04f11b67a17ed78678e7c0d3be2eefb387142fc705cccc55a4fb6fac415,1.0,compatible,3.2233687347245894,-4.379,-4.379,-4.379,NONE
7B_WT_SAM_BOUND,S,1,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s7.pdbqt,2,9982f18f5f0480b2135531ed9701d1bacf96f0ade8acf3d9122fcbcfe5601cbd,1.0,compatible,3.746109448481184,-5.033,-4.947,-4.838,NONE
7B_WT_SAM_BOUND,S,2,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,2,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,1.0,compatible,3.8310233619752307,-4.659,-4.644666666666667,-4.636,NONE
7B_WT_SAM_BOUND,S,3,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s7.pdbqt,3,9982f18f5f0480b2135531ed9701d1bacf96f0ade8acf3d9122fcbcfe5601cbd,1.0,compatible,3.2105784525533716,-4.648,-4.635000000000001,-4.626,NONE
7B_WT_SAM_BOUND,S,4,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s7.pdbqt,4,9982f18f5f0480b2135531ed9701d1bacf96f0ade8acf3d9122fcbcfe5601cbd,1.0,compatible,3.6202776136644546,-4.644,-4.600333333333333,-4.541,NONE
7B_WT_SAM_BOUND,S,5,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,5,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,1.0,compatible,3.096095928746395,-4.504,-4.492333333333334,-4.473,NONE
7B_WT_SAM_BOUND,S,6,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,7,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,1.0,compatible,3.26804008543347,-4.393,-4.371499999999999,-4.35,NONE
7B_WT_SAM_BOUND,S,7,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_WT_SAM_BOUND_S_s1.pdbqt,8,829d9644a3b41e160922b4bf897204bfad532602967749e9c100d1d30c8678d4,1.0,compatible,3.3302591490753386,-4.342,-4.3004999999999995,-4.259,NONE
