axis,angle_degrees,target_residual_kcal_mol,PRMTOP_DIHEDRAL_TYPE_1_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_2_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_7_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_12_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_17_AMPLITUDE,PRMTOP_DIHEDRAL_TYPE_30_AMPLITUDE
CHI,-180,1.2091835298266176,0.0016472790156895206,0.018670277535977498,0.00513650410732408,-0.07625892406701024,-1.985625718492543,-0.9796134576039941
CHI,-165,0.8328928697572309,-0.005586646608794807,0.00144062437549497,-0.006699132798338614,-0.12602608180301594,-1.4570650816342607,-0.8100506141146941
CHI,-150,0.5102056546603251,-0.010632208750900637,-0.010175964001746696,-0.01145211153576714,-0.1596291864145552,-0.09803156614430497,-0.15812242905140528
CHI,-135,0.41647313314386736,-0.012873926407337186,-0.013903882167496828,-0.009000430517930924,-0.18235683877525893,1.3298417686835968,0.6039255463346438
CHI,-120,0.6060474271938716,-0.01133029533889994,-0.006295080521907526,0.0009122622372890743,-0.1886850463958924,2.0034332713166645,1.0006033702010009
CHI,-105,0.9601659857244442,-0.007648995946558754,0.0031989742209357352,0.011934018355764853,-0.19733008471739993,1.5104515371247618,0.7573123427745005
CHI,-90,1.293170885164372,-0.001594246578205824,0.014402963958486392,0.020017117623186642,-0.19190694213942366,0.12607826232077235,0.031108108456887162
CHI,-75,1.4775336759099673,0.004651722476532463,0.024158338229812948,0.021230983981928186,-0.17784482759325387,-1.3212390981286353,-0.6982038751787385
CHI,-60,1.4707292760145805,0.009939648680664007,0.03047668059145625,0.015641955480703185,-0.15223387515951642,-1.981709084313751,-0.9934265835760456
CHI,-45,1.3356799337181826,0.010040487229664788,0.03083959688398874,0.006797689787141625,-0.1430053826978797,-1.4774522989109462,-0.7060057365206881
CHI,-30,1.2464452769508654,0.005473570773198336,0.026594349423817665,-0.0013047583973783694,-0.14741180900557144,-0.10859874575690331,-0.017134986482152725
CHI,-15,1.162009224802432,-0.0010595342239516498,0.022118579825409768,-0.005474066331106753,-0.15672927011722987,1.3285803708026043,0.6808006067477477
CHI,0,0.9561381951697285,-0.0072833560139102665,0.014940471550762169,-0.007886927810836719,-0.15926233209387525,2.0017858707782055,1.0038976463256435
CHI,15,0.5746093899891775,-0.011295826989250343,0.0004542927089574711,-0.00940874410311393,-0.1305089011498663,1.5371317408098744,0.7844933146424351
CHI,30,0.19791650061961263,-0.012217576245562287,-0.020703697576041957,-0.01309252778836928,-0.03444880675573364,0.23189192520014323,0.15245453444147827
CHI,45,-0.01846522823201724,-0.010324170102860117,-0.04023578298313524,-0.017948162657333178,0.1221364212730191,-1.1729711537362308,-0.55744376779199
CHI,60,-0.04753714911851148,-0.007237450917361152,-0.05005212843604001,-0.02058327838911006,0.27222690752359363,-1.9292530907145071,-0.970403948938533
CHI,75,0.12546538314121847,-0.0022767854684858507,-0.045728954224891094,-0.01741764187134104,0.38601216803677013,-1.610865946207411,-0.8425813137913462
CHI,90,0.5199958842257075,0.0033457028624991475,-0.03763635003003696,-0.013077437694247462,0.4391470201780328,-0.34765855090471387,-0.22027484044287315
CHI,105,1.102774955882083,0.009258287782307209,-0.025672957335746815,-0.006479044271424039,0.4126743614664338,1.1665660415276777,0.5484564669179233
CHI,120,1.5610784274776819,0.01424479762890686,-0.008683028653863278,0.0026416019334518093,0.31546287771869236,1.983800745054367,0.989362152677451
CHI,135,1.6794955829305849,0.017726323722036988,0.01165967810565327,0.014652487287313998,0.19944767069700658,1.5259589642363216,0.8190709733463848
CHI,150,1.580674820775016,0.015555610409229717,0.028201000478724314,0.021991566030984122,0.08443544057449132,0.10258191161102559,0.16156343316688537
CHI,165,1.4351330803994244,0.009477589011349777,0.03193199804140878,0.01886807734120971,-0.007904558582555732,-1.357632074521809,-0.5797869425405193
PHI,-180,-2.5488461036108845,-0.86192267491973,0.4798342470182497,0.37424723611563027,-5.332073723584017,-0.36216653124618087,-0.06427546113334824
PHI,-165,-3.1274671356734274,-0.10379546547763963,0.5568178316751986,0.19291810019614142,-2.849937695875166,-0.2825557589851741,-0.012919014448142904
PHI,-150,-3.134800072745506,1.2279254289586257,0.829610437486946,0.8530874021450864,1.7452180958698875,-0.39405162769977947,-0.09817076334162088
PHI,-135,-0.7530050816831988,2.7522852768580135,1.1611217783656933,2.775108301317921,6.685455848972388,-0.3791344598209771,-0.11467843107022012
PHI,-120,-0.8173703741465346,1.8515168668103683,0.9161106281488358,1.6248389387888311,6.355061315653983,-0.2759769880986139,-0.08596360887051478
PHI,-105,-1.0861552312221079,0.2932155656896003,0.4825132536615371,0.15512848232230125,2.2407924998233755,-0.24426697243116208,-0.04953243176686438
PHI,-90,-0.5915444153121001,-0.6783878864164012,0.05726953529728451,-0.6225865784561689,-2.18815330588452,-0.10033351557685993,0.06712210352244354
